,Tweet
0,"สิ่งที่คุณจะเจอเมื่อมาเป็นฟค.คนไทย
- หัวหน้าด้อม
- ลูกหาบหัวหน้าด้อม
- ลูกหาบค่าย
- ระบบโซตัส"
1,@sgrneseng คือมึงโซตัส!?!?!????
2,เชื่อว่าสลับกันพูด เตนล์ไม่มีทางพูดแบบนั้น ถึงชีจะตลกแต่ชีไม่เล่นอะไรที่ดูถูกความสามารถคนอื่นแน่ๆ  มันเป็นบทบ้งๆ โซตัส วัดทัศนคติได้เรยนะ สนิทกันแค่ไหนก็ไม่น่าเล่นมุขนี้เพราะรู้ทั้งรู้ว่าบทเตนล์โดนกดจริง เริ่มพร้อมกันเรยนิ่แล้วแกโตไปขนาดไหนล่ะ น้องชั้นนับ1เรื่อยๆ
3,@kati_whitelove เหมือนว่า โซตัส จะไปออกในเน็ตฟิตด้วยอ่ะค่ะ
4,ตอนแรกว่าจะโซตัส perses แต่โดนกฤตตินตก จบแล้ว ลาแล้ว yours ไม่มีอีกแล้วไฮยู พี่ให้รุ่นแล้วคะ 🫠🫠🫠
5,@hestidump เรียกพี่ครับ เราโซตัส
6,ไปอยู่ด้อมก็ไปเจอโซตัส อยู่มาก่อนตามมานาน ตามมาก่อน ทำไมอะตามทีหลังไม่ใช่แฟนคลับเหรองงมาก
7,จริงแท้ 100% หมดตั้งแต่ปีแรก เบื่อความโซตัส ที่ไม่ฟังคนรุ่นหลังเลย ชั้นถูกเสมออจ้าาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาา 
8,"ปุ๋ยออสโมโค้ท ออสโมโค้ทพลัส ขนาด 1 กก ของแท้ 100% จาก โซตัส ครับ [2CRZMXQ]

"
9,ซ้อมสันเต้นใจจะขาดยังมีรุ่นพี่ผีบ้ามาตะโกน​เย้วๆต้นดีๆร้องดังๆเด้ะมึงเจอฤทธิ์​ปี1ปี2นะอีควยแล้วจะมาโพสด่าน้องว่าน้องมันกล้า ก้ดูแต่ละชีทำตัว พี่คะไหนบอกยกเลิกโซตัส​ไง
10,เกาหลีนี่คือเน่าในของจริง พยายามใช้วงการบันเทิงกลบความเน่าในประเทศ แต่แบบมึงเก็ตปะพอคนอยู่ในสังคมเน่าๆมันจะชินกับพฤติกรรมเน่าๆอ่ะ บูลลี่ออกอากาศน่าตาเฉย พราวกับโซตัส ข่มเพศหญิง คือแสดงได้ปกติ ซึ่งมันจะอ้วกในสายตาคนนอกอ่ะ
11,รับน้องโซตัส  via @YouTube
12,ลิทธิโซตัส 
13,"เถียงกันไปก็หนีความจริงไม่ได้ว่า ""นี่คือคนแรกที่ถ่ายรูปถือเสื้อบาสแล้วโดนโซตัส"" "
