,Tweet
0,@MorningNewsTV3 สงสารอาจารย์ชัชชาติอ่ะ แต่ละวันต้องเจอกับอะไรไม่รู้ ป้านี่มึงช่วยไปเขย่าแขนนายกไอ้ตู่หรือไอ้ป้อมก็ได้นะ สุดจะทนเหมือนกัน ทีกับพวกนั้นล่ะไม่กล้า
1,@ZhentingLiu เปลี่ยนผบ.ทอ.ที่ผ่านมาไม่เห็นจะต้องปิดน่านฟ้าให้กระทบประโยชน์ประชนและนานาชาติด้วย นี่คิดแบบหัวหน้ากปปส. เลย เมื่อไรจะคิดเป็นคิดถูกซะทีนะทหารไทย ทำตัวได้แค่ยามเฝ้าเวรจริงๆ ไอ้ป้อมก็ไม่รู้ๆๆอย่างเดียว
2,"ถ้าไอ้ตู่ไอ้ป้อมทำไมไม่ออกมาเตือนประชาชนแบบไอ้โจแบบนี้บ้าง
""ขอให้ประชาชนชาวอุบลฯอำนาจเจริญขอนแก่นรีบไปฉีดวัคซีนให้ครบโดยเร็วพายุโนรูจะเข้าแล้ว"" "
3,@Unrulycat2511 ไอ้ป้อมมันก็คงไม่รู้ทุกเรื่องแหละ นักข่าวควรจะถามเรื่องที่มันตอบได้ แบบว่าวันนี้มึงได้งีบ (พักสายตา)หรือยัง
4,"แค่นี้ ก็ชัดเจนนะ
ทีมที่ปรึกษาของไอ้ตู่ ห่างชั้นกันลิบลับ
ไม่ได้แดกทีมไอ้ป้อมสักซีนเดียว อายแทนว่ะ"
5,"@Crypto_TomP เป็นนักรัฐศาสตร์​แบบไทยๆจริงๆที่ออกความเห็น​แบบนี้คับ​ มันเป็นผลทางจิตวิทยา​และที่ไม่เยือนไทยเพราะเค้าไม่เห็นหัวไอ้ตูบกับไอ้ป้อม​ "
6,@madmax68176958 ไอ้ป้อมเอาแต่หาเสียง จังหวะนี้ต้องแสดงความเป็นผู้นำแล้วอิเห้ย
7,ถ้าไอ้ตู่ไม่รอด ไอ้ป้อมก็ผงาด + เพื่อไทย
8,ทำเป็นดิ้นเหรอ มันก็ดึงงี้ละ ให้ไอ้ป้อมได้เปรียบ 
9,@shutup2557 ไอ้ป้อมคือหัวหน้าพรรค..ชัดเจนขนาดนี้..ยังเฉย...ผ่านฉลุย..
10,@IRh1aImid0C3HkQ ปกติ ชอบหลอกลวง เหมือนไอ้ป้อมไอ้ตู่แหละ
11,@prachatai อ้าวแล้วเอาไอ้ตู่ ไอ้ป้อม ไอ้หนูกูไปไว้ที่ไหน
12,จริงๆฟังได้หมด ขอแค่บอกกัน อย่าหายไปกับคำว่าไม่รู้เลย มึงเป็นไอ้ป้อมรึไงล่ะถึงทำแบบนั้น
13,ไอ้ป้อมมาเยือนหล่มสัก จะไปด่าก็กลัวโดนจับ จะไปดูเฉย ๆ ก็เปลืองน้ำมัน เปลืองเวลา เสียสายตาด้วย
14,ไม่เลือกไอ้ ตู่ ไม่ชูไอ้ป้อม จะยึดอำนาจอีกครัั้งนะว่าซ่านน ประเทศนี้ไม่มีแล้ว สามัญสำนึก มีแต่ด้านได้อายอดหน้าเหี้ย แบบนี้ 
15,"ผู้นำที่ควรโดนรัฐประหารอีก ก็คือ ไอ้ตู่ ไอ้ป้อม 
ถ้าไทยมีรัฐประหารอีกรอบ ก็หมายถึง มึงทำรัฐประหารมา 8 ปีเต็ม ล้มเหลวสุดๆ บริหารประเทศ จนประเทศฉิบหายวายป่วง
ทำให้ทหาร ต้องมายึดอำนาจทหารด้วยกันเอง (ไอ้ตู่ ไอ้ป้อม ไอ้ป๊อก) 3 ป ก็คือ ผบ.ทบ.ในอดีตนั่นเอง 
#สีจิ้นผิง"
