,Tweet
0,@KhaosodOnline 🫢เห่องบแผ่นดินต้องหมดไปกับไอ้พวกหัวเกรียนไร้ความสามารถพวกนี้ กองทับมีไปทำไมจัดการเรื่องที่ข่มขืนเขาได้ยัง ทารุนทหารเกณจัดการหรือยัง งบเงินเดินความเป็นอยู่จัดการหรือยัง ทำแต่เรื่องส้นตีนล้างผลานเงินภาษีไปวันๆ ขนาดไอ้เหี้ยป้อมยังไม่รู้ๆๆๆๆ อยากถามต่อหน้าไม่รู้เหี้ยอะไรของมึง
1,ไม่เลือกไอ้ ตู่ ไม่ชูไอ้ป้อม จะยึดอำนาจอีกครัั้งนะว่าซ่านน ประเทศนี้ไม่มีแล้ว สามัญสำนึก มีแต่ด้านได้อายอดหน้าเหี้ย แบบนี้ 
2,"""ศ.สุชาติ"" รู้สึก​ตกใจมากที่""ไอ้​เหี้ย​ป้อม​ เผด็จการ​อัปรีย์​จัญไร"" สั่งทำค่าเงินบาท​แข็ง​ขึ้น​ ซัด! เป็น​คำสั่ง​ที่ไม่มีความรู้​ไม่มี​วิชาการ
ชี้! จะทำให้​รายได้​ประชาชน​ลดลง​ คนตกงาน​มากขึ้น​และ​GDP ตกลงไปอีก​ Cr​.สำ​นักข่าว​ราษฎร #ประวิตรออก​ไป​ #รัฐบาลส้นตีนคนเชียร์ก็ส้นตีน "
3,@johnwinyu แดกๆล้วนๆก่อนให้เหี้ยป้อม..จะหมดประโยชน์ในเดือนนี้ จัดการไอ้หมูตะกละตัวนี้ก่อนเลย
4,@natlamborghini1 ไอ้เหี้ยป้อมอนุมัติ รอจัดหนักมันเลย..
5,อีหน้าหีมึงไม่ได้ กูไปตีป้อมก็ได้วะไอ้เด็กเหี้ย
6,ฝากถึงอีไวโอตาเมื่อกี้ แม้ว่ามึงจะไม่มีวันเห็น ไอ้sas! ปล่อยอลิสแบบกูดูป้อมจนจบเกม ส่วนตัวมึงไปวิ่งเล่นในป่าทั้งเกมแบบไม่แก๊งเหี้ยอะไรเลย อีเด็กห่อหมก! ขอให้ชาติหน้าเกิดเป็นคนไทย ขอให้พรุ่งนี้โดนครูตี ขอให้พรุ่งนี้โรงอาหารมึงที่นั่งเต็ม ร้านที่อยากแดก อาหารที่ชอบหมด สาธุ๊
7,เจอสุดยอดโค้ชมกังก้าว่ะช่วยด้วย5555555555555555555 เล่นด้วยกันสามตา สองตาแรกป่าafkแต่มันพาทีมชนะได้ ตาสามป้อมแตกหมดก้ชนะ งงไอ้เหี้ยยยยโคตรสุด
8,@pitipolkarhand กรมอู่ไม่ปลื้ม แต่ไอ้เหี้ยตู่ไอ้เหี้ยป้อมปลื้ม จบนะเงินถอนเอาไปฝากธนาคารสวิตฯแล้วอ่ะ
9,@z4TdoCu5LY7aMUc อย่างไอ้ป้อมใช่มั้ยคะ เหี้ยมากเลยนะคะรายนั้น หน้าด้านมานั่งแทนนายกอีก ขนาดตู่มันไปแล้ว หนีเอดส์มาเจอมะเร็งแท้ๆคนไทย สู้ๆค่ะ เศรษฐกิจก็แย่ทั้งประเทศแหละค่ะ เพราะคนโง่ไม่กี่คน
10,"โคตร​เหี้ย​โคตร​สัส​""ไอ้​เหี้ย​ กรุง​ศรีวิไล​ สุ​ทิน​เผือก"" เลียตีนถึงริดสีดวง​ทวาร​ของ​""ไอ้​เหี้ย​ตู่​+ไอ้​เหี้ย​ป้อม​ เผด็จการ​อัปรีย์​จัญไร"" เป็น​ระยะ​ นี่คงเป็น​ความภูมิใจ​ของ​คนจ.สมุทร​ปราการ​หน้า​โง่​ส่วนมาก​ใช่ป่ะ.. ถุยส์​  Cr.เจ้าของ​ภาพ​ #สมุทรปราการ "
11,"เบื้องหลัง​""ไอ้​เหี้ย​ป้อม​ เผด็จการ​อัปรีย์​จัญไร"" ก่อนลงพื้น​มันฝึกซ้อม​น้องๆไว้แบบนี้​ Cr.เจ้าของ​คลิป​ #ประวิตรออกไป #ประวิตรไปตาย​ #รัฐบาลส้นตีนคนเชียร์ก็ส้นตีน
เรื่อง​เหี้ย​ๆ​ไว้ใจได้นายพล​กองทัพ​บก​ไทย​ใจ​หี​มด​หน้า​ตัวเมีย​ทำคล่อง.. ฆ​วย​ "
12,ปล่อยกุมาเจอแต่ทีมกระดอหมาไอ้สัส​ ลิงรู้ว่าดักไม่ได้ก็สาระแนจะดักจัง​ ชอบนัก1-4 ไอ้ควายตายทุกรอบ​ ไม่มีเหี้ยไรดีซักอย่าง​ ไอ้เปรต​ บอกให้เอาดาร์ก็ไม่เอา​ มังกรก็ไม่เอา​ ซัพก็ไม่เปิดแมพ​ ไม่เดินโซน​ ไม่ทำควยไร​เลย​ เซลิก้ายืนอันติโง่มาก​ เอาจริงป้อมแม่งยิงสองทีแตกได้เซลิกุไม่ทำจ้า 
13,@nt0844040405 ไงเหมื่อนกะไอ้เหี้ยตู่เลยมะ ให้ทำไง..?????..บอกมาๆๆๆๆ สัสสมองไม่มีแต่เสือกอยากจะมาบริหารบ้านเมือง ค.ว.ย..ป้อม
14,@cockerkrub เยอะครับไอ้เหี้ยนี้​ ไอ้ป้อมน้อยกว่าเยอะ​ ไอ้นี้โง่เสือกชอบสอนทำตัวเหมือนฉลาด
15,โธ่เว้ย กำลังอารมณ์เบิกบานอยู่ จู่ๆไถมือถือไปเจอข่าวสัมภาษณ์ไอ้เหี้ยป้อม เจอคำตอบควายๆแบบมองไม่เห็นอนาคตประเทศแบบนี้แล้วใจเหี่ยวหมด ทำไมต้องมาเกิดในประเทศนี้ด้วยฟะ
16,@WassanaNanuam อุตส่าห์หาอ่านคอมเม้น อยากจะเจอตัวเชียร์ไอ้เหี้ยป้อมนี่ไม่เจอเว้ย
17,"ไอ้เหี้ยป้อมคุมน้ำตั้งแต่ น้ำท่วมปี54สมัย ปู

และไม่ปล่อยน้ำจากเขื่อน ให้คนตจว/เกษตรการใช้ มาตลอด สิบกว่าปี "
18,@tatsumichuang @auanja เสียเวลา กับ พวกหล่อนจริงๆ ถามว่า เค้ายิงหล่อนเหรอ ถ้าหล่อนเดินมา แบบปกติ สุข ถามไอ้พวกเหี้ย ที่มันโดนจับ มันเผา ป้อม เผา รถ ดิ ใช้สมอง มั่งนะ ถ้ามีใครไปทำกับ ของที่พวกเหี้ยนั่นมันทำลาย หล่อนจะทำยังไง ดีใจ ยิ้ม บ้านหนู ยังไม่โดนเผา เลย มาช่วยเผาหน่อย เหรอ ???
19,@AITargaryen ถามไอ้เหี้ยตู่ไอ้เหี้ยป้อมนู้นไปไอ้โง่
20,@art_someone ผู้ว่าสั่งการไปแล้ว ให้ไอ้เหี้ยป้อมกับไอ้เหี้ยตู่หัดโงหัวมาทำงานบ้าง
21,@Unrulycat2511 เอาจริงๆนะไอ้ป้อมมันก็ยังดีกว่าไอ้ตูไอ้ป้อมมันยังฟังคนบ้างไอ้ตู่แม่งไม่ฟังเหี้ยอะไรเลย
22,ยามที่ป้อมยามช่วงนี้เขาน่าจะสลับกะกับน้ายามคนเดิมมะ เพนพี่คนนี้ทุกทีเลยช่วงกลางวัน ละยัยแมวป้อมยามชีน่าจะไม่สนิทกับพี่คนนี้ ชีนอนนอกป้อมตลอด นี่ก้ไปจับๆ ลูบๆ คลำๆ ไม่รุ้พี่เขาได้ยินป่าว กุพุดดังอีกไอ้เหี้ย
23,ไอ้ #สวะโสโครก ทั้ง250 ตัว มึงใช้หนี้ ไอ้เหี้ยยุดกับไอ้เหี้ยป้อมแล้วยัง??? 
24,ไอ้เหี้ย กูตีป้อมอยู่ เพื่อนหน้าห้องตะโกน อาจารย์ครับ เมดเล่นเฟสบุ๊คครับ กูแบบ แล้วกูจีป้อมอยู่หลังห้อง5556656655555555555555555555555555555555
