,Tweet
0,บบ โดนจี้มาตั้งแต่โปรแลนด์ สงสาร แทบจะเป็นคนเปิดบอลแรกทุกลูก  #วอลเลย์บอลหญิง
1,มาเห๊อะ #วอลเลย์บอลหญิง
2,เห็นไหมเราได้แต้มติดกันไม่กี่แต้มเค้าขอเวลานอกแล้วทั้งๆที่เค้านำเราตั้งเยอะ แต่เรารอค่ะรอจนเค้านำค่อยขอ งงมากกกก #วอลเลย์บอลหญิง
3,มาๆๆ ขอ 5 เซต #วอลเลย์บอลหญิง
4,งงโค้ชนะ เปลี่ยนตัวแบบเดิมๆ #วอลเลย์บอลหญิง
5,"ใครมีไอจีพี่สาวเยอรมันเบอร์ 2 บ้างมั้ยคะ 
#วอลเลย์บอลหญิง"
6,อีกนิดเดียว จะทันแล้ว #วอลเลย์บอลหญิง
7,เอาบบ.ออกแล้วใครจะรับลูกคะ  #วอลเลย์บอลหญิง
8,คะ ยังไง? ขออีกนิด #วอลเลย์บอลหญิง
9,แล้วกล้องก็ขยันถ่ายเนอะ ไปซูมรอยสักที่ต้นขาเค้า อิสัส555555 #วอลเลย์บอลหญิง
10,ทัน ทัน #วอลเลย์บอลหญิง
11,เอาจริงสงสารบุ๋มบิ๋มนะ โดนเสิร์ฟจี้ทุกคะเเนนเลยมั้ง สู้ๆค่ะ #วอลเลย์บอลหญิง
12,21 กูต้องมา  #วอลเลย์บอลหญิง
13,โค้ชให้บุ๋มบิ๋มพักเถอะทั้งล้าทั้งเสียความมั่นใจเเล้ว สงสารน้อง #วอลเลย์บอลหญิง
14,อยู่ในช่วงวัดใจอหลุ้นมากกกน้ำตาเเตก#วอลเลย์บอลหญิง
15,นัดนี้เราเสิร์ฟเสียกี่ลูกละอ่ะ ที่แน่ๆคือเกิน 10 #วอลเลย์บอลหญิง
16,หรือจะ 5 จริงๆๆๆ #วอลเลย์บอลหญิง
17,แต้มเดียวๆๆๆๆๆๆ #วอลเลย์บอลหญิง
18,หัวใตจะวายแล้ว สู้!!!!! #วอลเลย์บอลหญิง
19,"เก็บแนนไว้ทำไมสาว 
 #วอลเลย์บอลหญิง"
20,เห็นฟอร์มการเล่นของไทยเมื่อวานและวันนี้ คือไม่เหมาะกับรอบ 8 ทีมจริงๆ ให้ทีมที่เขาพร้อมและเหมาะที่จะเข้ารอบเถอะ กลับไปแก้ไขกันใหม่ เอานกฬ. ที่มั่นใจและกระหายชัยชนะคนเดิมกลับมาเถอะ วอนโค้ชช่วยดึงศักยภาพนกฬ. ให้ออกมาได้เต็มที่และวอนสมาคมสนับสนุนให้มากกว่านี้ #วอลเลย์บอลหญิง
21,ไทยคือเสริฟให้ลิเบอโร่เยอรมันรับสบายๆ ส่วนอีกทีมเสริฟจี้ตัวตีเรา #วอลเลย์บอลหญิง
22,ทำดีละทุกคน ขอบคุณที่มอบความสุขให้คนไทย แม้จะแถมความเครียดมาด้วย55555555 #วอลเลย์บอลหญิง
23,เนี่ยเห็นมะพอแป้นรับได้ มันได้สวนอ่ะ แต่ถ้ายุพา คือปิดจบ #วอลเลย์บอลหญิง
24,"เวลาชนะก็ให้กำลังใจ ยิ่งเวลาหน้าสิ่วหน้าขวานก็ยิ่งให้กำลังใจ สู้เขาพวกเธอ
#วอลเลย์บอลหญิง"
25,บบ.ขุดเก่ง ต้องเอามาช่วยกันแต้มเสีนก่อน #วอลเลย์บอลหญิง
26,ขอแบบตามทันก่อนได้มุ้ย สู้ #วอลเลย์บอลหญิง
27,"ช่วงปลายเซตอีกแล้ว
กู........
#วอลเลย์บอลหญิง "
28,เห็นฟอร์มยุพาทัวนาเม้นท์นี้แล้วแอบเซ็งๆ เป็นลิบที่ไม่ไวบอลไม่เข้าตาเลยทุกแมทซ์ มุแง คิดถึงแต่สุพัตตรา อยากรู้ว่าชีไปไหน ไม่มีชื่อแข่งทัวนี้หรอ เอามาช่วยชีแป้นก็ยังดี #วอลเลย์บอลหญิง
29,น่าเอาบบ เป็นลิบสุด ขุดเก่งงง #วอลเลย์บอลหญิง
30,เมื่อไหร่บิ๋มเลิกโดนจี้ #วอลเลย์บอลหญิง
31,กลัวอย่างเดียวคือกลัวเลิร์ฟเสีย #วอลเลย์บอลหญิง
32,#วอลเลย์บอลหญิง ลากไปเซ็ท 5 ให้ได้ ขอร้อง
33,สู้เขาาาาาาา  #วอลเลย์บอลหญิง
34,20-21 #วอลเลย์บอลหญิง
35,อ้าวงว ลูกเดียว  #วอลเลย์บอลหญิง
36,ตอนเซต3คือวางรูปเกมมาดีจริงๆนะของเราอ่ะ ที่เอาออมลงตั้งแต่แรกไม่ได้บอกว่าบบ.ไม่โอแต่ในเมื่อเขาเลือกจะจี้ขนาดนั้นเปลี่ยนเกมรับใหม่อ่ะถูกแล้ว แล้วโค้ชคิดไรค้าในเซท4 #วอลเลย์บอลหญิง
37,อยากหนีบกรรมการคนนี้ไปตัดสินด้วยทุกแมท ตาดีมาก5555555555 #วอลเลย์บอลหญิง
38,แล้วทำไมครั้งนี้ไม่เอาสุพัตรามาก่อน ตอนVnlครั้งก่อนก็เล่นออกจะดี #วอลเลย์บอลหญิง 
39,ถ้าวันนี้ชนะบอกเลย นักกีฬาแบกเว่อ #วอลเลย์บอลหญิง
40,พพแบกจนหลังแทบหักแล้ว #วอลเลย์บอลหญิง
41,บบ.คือขุดลูกเหมือนเป็นลิบแล้วอะ แล้วโดนเสิฟจี้ทุกลูกจริง นี่ว่าน้ิงทำดีแล้ว สู้ๆ #วอลเลย์บอลหญิง
42,กรรมการเป็นใจแบบนี้ เอาชนะให้ได้นะสาว #วอลเลย์บอลหญิง
43,สงสารบบ มันหงุดหงิดนะโดนเสิร์ฟจี้ๆอะ ในฐานะที่ฉันเคยเป็นตัวเสิร์ฟเหมือนกัน มันสร้างความกดดันได้ดีมากเลยนะ บางคนใจฝ่อไปเลยด้วย ละเขาเสิร์ฟดีมาก #วอลเลย์บอลหญิง
44,ไฃ่เหนื่อยเลยทีนี้  #วอลเลย์บอลหญิง
45,เอาแป้นยืนยาว ขอร้อง #วอลเลย์บอลหญิง
46,1ใบบบ #วอลเลย์บอลหญิง
47,ใจสู้กันมากกกกก ขอเซ็ท 5 ให้กันได้ม้ายย #วอลเลย์บอลหญิง
48,เอา บบ ออกพักก่อนนนน #วอลเลย์บอลหญิง
49,ได้ๆอีก2แต้มค่อยๆกระดิ๊บๆไป #วอลเลย์บอลหญิง
50,ไม่ไหวแล้ว จะเป็นลม #วอลเลย์บอลหญิง
51,ปาดเถอะ อยากดู5เซต เชื่อมั่นเราทำได้ #วอลเลย์บอลหญิง
52,"#วอลเลย์บอลหญิง 
#วอลเลย์บอลหญิงไทย "
53,เอาเเนน ออมสินลงนะคะ  ถือว่าขอร้องง  เเก้เกมส์หน่อยย คนที่ไม่ค่อยทำคะเเนนเอาออกมั้ยย #วอลเลย์บอลหญิง
54,ทันๆขอให้ทัน #วอลเลย์บอลหญิง
55,ถ้าอยากไปโอลิมปิคควรเปลี่ยนสต้าฟโค้ชก่อนค่ะ แผนจี้ลิบ แผนเอาคนบอกแรกดีออก5555  งงค่ะ  #วอลเลย์บอลหญิง
56,เซ็ตที่แล้วเอาออมลงก็ชนะไง เอาลงอีกดีมั้ยนนน  #วอลเลย์บอลหญิง
57,ก่อนไปคัดโอลิมปิคอย่าฟร์อมแบบนี้นะแม่ไม่ไหวเลย #วอลเลย์บอลหญิง
