,Tweet
0,@PJerdja @fnky7_ ยังไม่ผ่านนะครับ หนี้ยังไม่หมดครับ ไม่มีใครบอกนะครับว่าการล้างหนี้ไม่สมควร แต่ถ้าล้างหนี้ปี40ได้ ทำไมล้างหนี้กยศ​ไม่ได้ครับแล้วหนี้ปี40มันเป็นหนี้ที่จ่ายให้กับต่างประเทศนะครับ เงินออกนอกประเทศไป 2.5 ล้านๆบาทเทียบกับหนี้กยศที่เป็นหนี้ของรัฐบาลแค่โยกงบไป แบบไหนมันง่ายกว่ากันครับ
1,ถอดบทเรียนนโยบายล้างหนี้ กยศ. ของสหรัฐอเมริกา | KEY MESSAGES  via @YouTube
2,ถอดบทเรียนนโยบายล้างหนี้ กยศ. ของสหรัฐอเมริกา | KEY MESSAGES 
3,@BewmamaHlew สวัสดีค่า คุณ Bew20 พอจะให้สัมภาษณ์ประเด็นการล้างหนี้กยศ.ได้ไหมคะ พอดีเราอยากได้ความเห็นจากคนที่ชำระหนี้ครบหมดแล้วค่ะ พอดีต้องการที่จะนำข้อมูลเพิ่มเติมไปทำการเขียนข่าวในกระบวนวิชาของคณะค่ะ โดยข้อมูลทุกอย่างจะไม่ถูกเปิดเผยค่ะ จะใช้ในการส่งงานเท่านั้นค่ะ 
4,ถอดบทเรียนนโยบายล้างหนี้ กยศ. ของสหรัฐอเมริกา | KEY MESSAGES  via @YouTube
5,คือคนที่ให้เหตุผลไม่ให้ล้างหนี้ กยศ เพราะไม่แฟร์เนี่ยเหมือนแบบคุณไม่คิดจะให้คนอื่นลืมตาอ้าปากอ่ะ อารมแบบเกิดมาจน กู้เงินเรียน ก็ใช้ ก็จนต่อไป ในอดีตที่ผ่านมามันก็แสดงให้เห็นแล้วไม่ใช่หรอว่า การให้คนใช้หนี้การเรียนมันไม่ได้ช่วยยกระดับฐานะคนเลย ช่องว่างยิ่งมากขึ้นไปอีกคนยิ่งจนไปอีก
6,เริ่มเห็นเหตุผลของการล้างหนี้ กยศ มากขึ้นละอ่ะ มันเป็นลดความเหลื่อมล้ำ นี่เริ่มไม่เห็นด้วยกับคนที่ให้เหตุว่าไม่ควรยกเลิกเพราะต้องรับผิดชอบหนี้ที่ก่อกู้มาเรียน หรือไม่แฟร์กับคนอื่น ไม่แฟร์กับคนที่ไม่ได้กู้หรือจ่ายไปแล้ว อยากถามกลับว่าคุณต้องการสังคมแบบไหนหรอถึงมีเหตุผลแบบนี้
7,ถอดบทเรียนนโยบายล้างหนี้ กยศ. ของสหรัฐอเมริกา | KEY MESSAGES  ผ่าน @YouTube
8,เริ่มไม่จ่ายหนี้กยศ.แล้วจ้า รอกฎหมายล้างหนี้ ว้าวววววว 
9,ล้างหนี้กยศ.มันมีเงินหมุนกลับมายังไงนะ งง
10,ที่อยากให้คืนเพราะจริงๆคนที่เขาไม่มีเงินจะเรียนจริงๆเขาก็ไม่ได้มีโอกาสเข้ามาในระบบการศึกษาไม่ได้มีโอกาสกู้เรียนด้วยซ้ำ ควรแก้ที่ต้นตอปัญหาไม่ใช่อยู่ดีๆล้างหนี้กยศ. แล้วคนที่เค้าไม่เห็นด้วยผิดยังไง ถึงโดนแซะตลอด การอยากให้คนทำงานแล้วใช้หนี้ที่ยืมผิดอะไร
11,แอคอินฟลูหลายๆแอคค้านเรื่องล้างหนี้กยศได้ แต่ประเด็นงบกลาโหม เงียบอย่างกะปากอมสาก คือมันก็ 
12,เห็น ads สารคดี 13 หมูป่าคือก็นึกย้อนไปถึงตอนนั้นที่ทุกสื่อ ทุกหน่วยงานพร้อมเข้าช่วยเหลือเต็มที่ งบเท่าไหร่ไม่จำกัด พอล้างหนี้กยศ หรือเรียนฟรีต้องฟรีจริง ที่ช่วยชีวิตเด็กและครอบครัวได้อีกหลายล้านครัวเรือน ดันออกมาต่อต้านกัน สื่อก็ตราหน้าว่าอีคนจนติดหนี้ๆๆๆ กูไม่เข้าใจ
13,ไปฟังช่องคุณจอห์นวิญญูมาตอนสัมภาษณ์อ.ษัษฐรัมย์เกี่ยวกับเรียนฟรีแลเล้างหนี้กยศ.สรุปมันทำได้นะ ตอนแรกเค้าก้คิดว่ามันจะไม่แฟร์กับคนไม่กู้รึเปล่าแต่พอดูงบแต่ละปีแล้วมันทำได้ควบคู่กันเลยอ่ะ ดีกว่าให้รัฐเอางบไปผลาญซื้ออาวุธเป็นไหนๆ เราขอพูดใหม่ว่าสนับสนุนทั้งเรียนฟรีและล้างหนี้กยศค่ะ
14,คิดไปเองว่าคนที่ค้านล้างหนี้กยศ.ไม่ด่าไปอีก เออไม่อยากจ่ายหนี้ที่ตัวเองกู้ขนาดนั้นเลย กร้ากกกก 
15,"""ไอ้พวกสนับสนุนล้างหนี้กยศ.มีแต่พวกมักง่ายอยากหนีหนี้""

กุ, ผู้ไม่เคยได้กู้ กยศ. ยันจบ : ""งง"""
16,"@gdsposhit นโยบายเรียนฟรีสำเร็จ -&gt; ล้างหนี้กยศ. 
ล้างหนี้กยศ. โดยยังเรียนฟรีไม่สำเร็จ -&gt; เด็ก200,000คน/ปี หลุดจากระบบการศึกษา 

ซ้ายจัดขวาจัด 
เวลาอินเกิ้น ไปสุดทั้งคุ่นะ สมองอ่ะ
พอไอ้เรื่องแบบนี้มาจากฝั่งตัวเองนี่ ยิ่งเจ็บหัว  ไม่ได้รู้สึกว่าเป็นความหวังของชาติเล๊ย"
17,อ.จั๊กถือนโยบาย พ.ร.บ.การศึกษาแห่งชาติ (เรียนฟรีมีเงินเดือน) และ ล้างหนี้กยศ. ให้ธนอน อยากรู้ว่าคุยอะไรกันเลย #รัฐสวัสดิการ 
18,ต่อให้ครม.อนุมัติงบกลางมาให้ล้างหนี้กยศ.กุก็ด่าค่ะ ล้างหนี้อะไรอ่ะ เป็นหนี้ก็ต้องใช้คืนถูกแล้ว ใครยืม คนนั้นจ่าย ส่วนครม.อนุมัติงบกลางให้กลาโหม ก็สมควรถูกด่า 
19,"กยศ กู้แล้วไม่คืน คือโกงแหละ
ต่อให้มีกฎหมายออกมาล้างหนี้ให้ มันล้างความตั้งใจโกงไม่ได้แหละ"
20,ตัวเองไม่มีส่วนได้ส่วนเสียอะไรกับกยศ.ด้วยซ้ำ พอเขาบอกให้ล้างหนี้กยศ.สไล้หีแถ่ดๆๆออกมาดิ้นเหมือนหมาโดนน้ำร้อนลวก งงสุชๆ
