text,class
คลิปหลุด  พระกะเทย แพรรี่ ไพรวัลย์ ลาสิกขาออกมาเป็นทิด ได้ผัวควยใหญ่ควยแข็งทีไรต้องรีบเด้า เย็ดตูดให้ซาบซึ้งในความเสียว กระหน่ำสะใจยิ่งกว่าตอนด่าพระปาราชิก ครางเสียวกระซิกๆเป็นคำบาลี,1
อีมดดำอะนะ ไปทักแพรรี่ว่าใส่ชุดราตีแต่ใส่รองเท้าผ้าใบ แต่ตัวเองโดนกรรชัยทัก เรื่องรองพื้น แล้วด่ากลับ โถ,1
จ๊อกมันทำใครดับจริงๆได้บ้าง เพช เบียร์ แพรรี่ ที่โดนโถมโดนด่าก็ยังเห็นโลดแล่นอยู่ในวงการอยู่เลย พวกมันสร้างดาวได้แต่พวกมันทำลายไม่ได้นี่แหละความน่าสมเพดของพวกจ๊อก,1
กูเคยฟัง p9d แล้วก็รู้สึกว่าเพลงอ่ะโครตดีดีแต่พักหลังคือเป็นอะไรอ่ะ ปากพร่ำบอกว่าตัวเองมีอุดมการณ์แต่การกระทำโครตย้อนแย้งเลย แซะน้องสไปรท์แล้วมาด่าแพรรี่อีก พ่นแต่ละคำออกมา อห,1
พ่อกูเป็นคนนึงที่ไม่ชอบทำบุญที่วัด วันเกิดรึอะไรพ่อจะชอบชวนไปทำบุญโลงศพ ทำอะไรแนวนั้นมากกว่าเพราะได้ประโยชน์จริงๆ และใช่ค่ะวันก่อนพ่อดูโหนกระแส ฟังแพรรี่ด่าพระรัสเซียกับทนายแสงจ้า,1
เอ้า p9d เห็นแต่งเพลงด่ารัฐบาลด่า k ดูโปร ที่จริงมึงก็สลิ่มตามกระแสนิหว่า ทำตัวเลอะเทอะไปทะเลาะกับเด็ก16 นี้มาดูถูกแพรรี่อีก อายุก็36แล้วยังไม่โตอีกหรอ,1
แพรรี่ด่าไฟแล่บมากอิดอกโคตรมัน5555555,1
ไปสอนสมาธิให้ปูตินแบบไหน ปูตินถึงสั่งให้ทหารบุกยูเครนน่ะค่ะ แพรรี่ด่าพระรูปหนึ่ง 5555555555555555 นางไม่ได้เมคฟันสงครามนะ แต่นางต้องการด่าว่าถ้าสอนสมาธิจริงๆ หรือได้ผลจริงๆ จิตใจปูตินจะไม่เป็นเหี้ยห่าผีบ้าสิง สั่งโจมตีประเทศอื่น ด่าอีนั่นว่ามโน,1
งงกับอิพวกที่มารุมด่า แพรรี่ ตอนเป็นพระ เทศน์ออนไลน์  มีคนตามฟังเป็นแสน ๆ แค่หัวเราะก็ไปกดดันให้เขาสึก หาว่าทำศาสนามัวหมอง แต่พอสึกออกมาแล้ว ทำมาหากินเหมือนชาวบ้านทั่วไป ก็เสือกไปด่าเขาอีก หาว่าบวชเรียนก็แล้ว แทนที่จะช่วยเผยแผ่ศาสนา กลับมาวิจารณ์ศาสนา เนรคุณ!,1
เดียวกุงงกับคน ที่ออกมาด่าแพรรี่มาก นี้ถามในฐานะคนโง่คนหนึ่งเลยนะ นางทำไรผิดอะ คิดว่าห่มผ้าเหลืองแล้วจะพูดอะไรก็ได้หร่อ #แพรรี่,1
