,Tweet
0,"1. โทษหนัก: คุณอัญชันเจอ 87 ปี

2. ขอบเขตมั่วซั่ว: นิวชุดไทย, สมบัติ ทองย้อย


3. สร้างความหวาดกลัว รอยัลลิสต์ไล่ฟ้องปิดปากข่มขู่


ถ้ายังมี 112 อยู่เราไม่มีประชาธิปไตย #ยกเลิก112 "
1,@Phathung121 ซ้ายไทยเจริญ ขวานิวมอส
2,@miamaimars แล้วที่คุณกล่าวหาว่าเราบิดเบือน เคสของคุณนิวที่ใส่ชุดไทยเข้าข่ายม.112 ยังไงคะ ?
3,"@ChuchatSurakhai ใส่กันค่อนบ้านค่อนเมืองทำไม พวกนี้ไม่โดนล่ะ จงเป็นข้อสงสัยมากกว่านะว่าพวกที่ปั่นว่านิวโดนคดีเพราะชุดไทยบิดเบือนความผิดจากคดีอะไรกันแน่

บางคนโพสท์ในแอคเค้าท์ตน
พวกนี้ มีความผิดฐานอะไรมั้ย  "
4,ถ้าเกิดสมมุติ​ว่า​ นนได้เล่นพีเรียดขึ้นมาจริงๆแล้วแต่งชุดตรีมนั้นคือกุกรี๊ดอัดโอ่งแน่​ นุนิวกับชุดออกไทยๆคือคุณหนูแบบตะโกน
5,น่ารักมากกกกก เรื่องนี้จะเห็น #เน็ตเจมส์ แบบหลายลุคเลยอ่ะ เน็ตชุดสูทกะพี่วินคือเกินไปมาก น้องเจมส์ชุดนักศึกษากะชุดไทยคือแงงง นุบนิบ อยากดูแล้ววววง 
6,"เมื่อวานที่นิวยอร์กมีการฉลองการเปิดชื่อถนนLittle Thailand Way ที่ย่านไทยทาวน์Woodside มีการแสดงศิลปวัฒนธรรมไทยโดยเด็กเยาวชนไทยที่เกิดและเติบโตที่อเมริกา และส่วนใหญ่ร่วมกันแต่งชุดไทยมาร่วมงาน

 "
7,"@miamaimars จขทว.บอกว่า อย่าพูดว่าแค่ใส่ชุดไทยแล้วโดน112 ไม่ได้ด่านิวเพราะแต่งตัวเลียนแบบ
รู้ว่าอยากช่วยให้รอด แต่ไม่เวิร์ค และเสียเครดิต และโดนเพจเจ๊จุกหยิบไปโจมตี ควรสู้ในหลักการว่า ในระบอบปชต. ควร satire ผู้มีอำนาจได้ ในระดับที่เหมาะสม และชี้แจงเหตุผลที่ satire
"
8,อยากรู้ว่าตอนไปนิวยอร์คคือช่างไทยรึเปล่าอะ เพราะรู้สึกเมคอัพ ชุด ไม่ค่อยส่งเเอนนาเสือสักเท่าไรเลย พอกลับไทย ทุกอย่างมันดูสวยมันดูเริ่ด มันปัง ชุดวันนี้คือที่สุด #MissUniverseThailand2022
9,@stopcredulity2 คุณ DK คะ สังคมเค้าตัดสินเองได้ค่ะว่าคุณนิวเค้าโดนคดีเพราะอะไร แล้วเรื่องนี้นะต่อให้เค้าจะใส่ชุดไทย แล้วเสียดสี มันก็ไม่ควรเข้าองค์ประกอบม.112 อยู่ดีค่ะ
