,Tweet
0,อย่าให้เห้นว่าพวกด่ารยูจินเสียมารยาทนั่งเลื่อนเสือกข่าวพลอยหอวังตามแท้กทวิตเต้อ กุจะขำจนกว่ามึงจะลงโลงให้ดู 
1,ทีแรกสงสารพลอยหอวังมาก แต่พอเลืาอนไปเจอทวีตที่ชีไปด่าเทเลอร์ว่าเป็นกระหรี่ เปลี่ยนผัวบ่อย ทีนี้รู้สึกถึงรสชาติชีวิตรึยัง
2,ถ้าพูดถึงพลอยหอวังเรื่องแรกที่เข้ามาในหัวเลยคือ อ่อ คนที่เคยด่าเทย์อะนะ อ่อๆ
3,มึง ข่าวพลอยหอวัง คือสุดๆ ประตูนรกเปิด คนด่าผู้หญิงที่เป็นมือที่3456789 รัวๆ กะหนี่บ้าง ชั้นต่ำบ้าง ไงล่ะประเทศไทยพวกมีควยลอยตัวเหนือทุกอย่างตลอดไปยุล่ะ
4,มีคนทวีตด่าเอาแต่สนใจพลอยหอวังแต่ไม่สนใจน้ำท่วมรึยัง รอนะคะ
5,พลอย หอวังคือเก่งมากอะที่สามารถให้สัมภาษณ์สื่อได้มีสติขนาดนี้ เป็นกูคือแค่เลิกกับแฟนว่าเสียใจแล้วแฟนนอกใจ แถมคนที่เป็นมือที่สามก็เป็นคนใกล้ตัว มึง เป็นกูไม่ร้องไห้ก็ร้องกรี๊ดตะโกนด่าต่อหน้าสื่อไปแล้ว เหมือนโดนหักหลังและเอามีดแทงจากคนรักและคนรู้จักอีก ดีแล้วที่ออกมาเป็นแค่คนรู้จัก
6,พลอย หอวัง นี่ขอไม่ให้ค่านะ บังอาจมาด่าเทย์เลอร์กูว่ามีผัวเยอะเหมือนกระหรี่ มึงสิกระหรี่!
7,พึ่งเห็นที่พลอยหอวังด่าเทย์ แรงมาก ต้องเป็นคนทัศนคติยังไงถึงด่าคนอื่นได้ว่าผัวเยอะเหมือนกะหรี่
8,และพลอยหอวังที่ด่าเทย์เลอว่าผมทองๆ เหมือนกะหรี่ๆ ค่ะ จำไม่ลืม
9,พลอยหอวังนอกจากจะด่าเทย์เลอร์แล้วยังดูถูกอาชีพกะหรี่อะ ตัวเองดีมากหรอ นานแล้วแต่ถ้ายังไม่ขอโทษก็จะหยิบมาด่าค่ะ 
10,พลอยหอวังแม่งด่าเทแรงไปป่ะอิเหี้ย
11,"ขอสลับมาเซเลปไทยค่ะ
ดีเจมะตูมเคยว่าเทย์ใช้ผช.เปลือง
พลอยหอวังด่าเทย์เหมือนกะหรี่

ม้าอรนภาวิจารณ์ชุดแกรมมี่ 2016 ของเทย์ว่าไร้รสนิยม
 "
12,"ทุกวันนี้คำว่า ""พลอยหอ"" ที่เอาไว้พูดกับเพื่อนคือ วันที่มันแต่งตัวจัด หรือใช้เวลาด่าว่า ""มึงเป็นพลอยหอเหรอ/มึงไม่ใช่พลอยหอ"" 5555  คือมีพี่พลอยหอวังเป็นไอดอลอ่ะ บางทีคือเราคิดว่าเราแต่งตัวแบบเขา แต่ออกมาและมันไม่ใช่อ่ะกิ๊ฟ เออ รักคำนี้นะ "
13,@ja4qSOCmcreyTxq @common_zg มี พี่ทู แฟน พลอย หอวัง ครับ พูดถึงสถาบัน ด่าตลอด
14,@NaffinArt พลอยหอวัง ออกมาคอลตลอดค่ะ แต่ส่วนมากนางจะลงทางสตอรี่ไอจี บางสตอรี่นางด่าแรงมากถ้าได้ติดตามจริงๆ
