,Tweet
0,ทำไมมันแพงจังงง  ไม่กล้านั่งนกแอร์ เคยนั่งแล้วใบพัดเสียงดัง เครื่องสั่น  หรือนั่งรถไฟไปดีหว่า 
1,"ไม่ฝืน!

28/9

- อุบล ฝนตกหนัก ลมแรง 

- เที่ยวบิน VZ226 ไทยเวียตเจ็ท ลงจอดไม่ได้

- ตีเครื่องกลับสุวรรณภูมิ

- บินกลับรอบ 2 ก็ลงไม่ได้

- ผดส. บอกเครื่องสั่นมาก เหมือนเครื่องเล่นในสวนสนุก 

- ขอลง-ยอมทิ้งตั๋ว

- นกแอร์ DD322 เกือบถึงลาว สุดท้าย ต้องบินกลับอีกลำ 

#พายุโนรู"
2,"ไม่ฝืน!

28/9

- อุบล ฝนตกหนัก ลมแรง 

- เที่ยวบิน VZ226 ไทยเวียตเจ็ท ลงจอดไม่ได้

- ตีเครื่องกลับสุวรรณภูมิ

- บินกลับรอบ 2 ก็ลงไม่ได้

- ผดส. บอกเครื่องสั่นมาก เหมือนเครื่องเล่นในสวนสนุก 

- ขอลง-ยอมทิ้งตั๋ว

- นกแอร์ DD322 เกือบถึงลาว สุดท้าย ต้องบินกลับอีกลำ 

#พายุโนรู"
3,"เห็นบรรยากาศที่สนามบินอุบลราชธานีวันนี้แล้ว พอเข้าใจเลยว่าทำไมหลายเที่ยวบินถึงลงจอดไม่ได้ ลมแรง ฝนหนักทั้งวัน

ล่าสุด ไฟล์ทช่วงบ่าย DD322 นกแอร์ ต้องบินกลับดอนเมือง ส่วน Thai lion Air SL 628 บินวนอยู่สักพักลงจอดได้แล้ว

ภาพ : พงษ์สันต์ เตชะเสน ผู้สื่อข่าวไทยพีบีเอสจ.อุบลราชธานี "
4,"บินอีกครั้ง ยังลงไม่ได้! 
28 ก.ย.2565 นกแอร์ เที่ยวบิน DD322 (ดอนเมือง-อุบลฯ) เดินทางไป อุบลฯ อีกครั้ง หลังจากที่บินกลับดอนเมืองในช่วงเที่ยงวัน เนื่องจากติดสภาพอากาศปิดที่สนามบินอุบลฯ ทำให้นำเครื่องลงไม่ได้ 
#thaipbsnews #โนรู #อุบลราชธานี "
5,นกแอร์ DD322 พยายามลดระดับลงสนามบินอุบลอีกครั้งหลังจาก diverted ไปดอนเมือง  ครั้งนี้ก็ไม่สามารถลงได้อีก นักบินกำลังไต่ระดับไปที่ 26000 ฟุต ไม่แน่ใจว่าจะมุ่งหน้ากลับดอนเมืองอีกครั้งหรือไม่  #พายุโนรู 
6,ว่าที่ ร.ต.อัธยา ลาภมาก ผอ.#ท่าอากาศยานนานาชาติอุบลราชธานี ระบุว่า ขณะนี้ที่สนามบินยังมีฝนตกหนักและลมแรง เครื่องบินไม่สามารถลงจอดได้ ภายในสนามบินไม่มีน้ำท่วม  เวลา 15.00 น.จะประชุมร่วมกับกรมอุตุฯ เพื่อประเมินอีกครั้ง ซึ่งเที่ยวบินที่จะมาลงเวลา 15.00 น. เป็นของนกแอร์ #พายุโนรู 
7,@wtfhz27 เราเช็คอินนกแอร์ รอบินไปอุบล 5555 พนักงานเคาท์เตอร์ยิ้มแห้งๆ ดีเลย์แน่นอน
8," อีกไฟล์ทที่กัปตันไม่ลงจอดที่อุบลฯ แล้วตัดสินใจบินกลับกรุงเทพฯนาทีนี้ คือนกแอร์ DD322 

และยังมีเวียดเจ็ต VZ 226 อีกลำที่บินวนหลบเมฆฝนอยู่ไกลจนเกือบถึง สปป.ลาว และสุดท้าย ก็ต้องบินกลับอีกลำ 

อุบลฯ มีลมขวางสนามถึง 16 น็อต และฝนตกหนักมาก [11.25น]

#พายุโนรู "
9,@nolnnt เวียตเจทไฟลท์เมื่อเช้ากลับมาลงอีกรอบละค่ะ กำลังเตรียมมุดลงเลย แต่สักสิบนาทีก่อนก็คือนกแอร์ hold รอแล้วไม่ได้ แล้วบ๊ายบายกลับดอนเมืองนั่นแหละ / สถานการณ์แบบนี้ ผมหงอกกันทั้งสนามบิน ฮือออ
10,"ลาแล้วโคราช! 'นกแอร์' ไปต่อไม่ไหว เที่ยวบินสุดท้าย 27 ก.ย.



#3PlusNews #ข่าวช่อง3"
11,ไปต่อไม่ไหว ‘นกแอร์’ ลาสนามบินโคราช เที่ยวบินสุดท้าย ผู้โดยสาร 10 คน 
