,Date,Tweet
0,2022-10-03 10:55:29+00:00,ด่าป้อมทำไม https://t.co/m7w8G2hp8o
1,2022-10-03 00:13:53+00:00,@nuling ด่าป้อมหรอ? หรือด่าตัวเอง ? #ตูบสูบต่อ
2,2022-09-23 03:33:21+00:00,@EVILSAGAGemini ไอ้ที่ด่าป้อมไว้ยังไงล่ะ ป้อมเค้าแค่เดินไม่สะดวกบ้างลุก/นั่งช้าบ้าง แต่นี่อาการหนักกว่าป้อมเยอะ
3,2022-09-22 04:06:03+00:00,"@Aee2555C @Jump4Real โยงแบบทึกทักเอาเองเลยว่าคนในทวิตเตอร์ที่ด่าป้อม เป็นกลุ่มเดียวที่เจ๊งจาก Luna 
ตรรกะตื้นๆของพวกสลิ่มสิ้นคิด

ก่อนจะโยงไปเรื่องอื่น คิดว่าไอเดียป้อมมันฉลาดพอให้คุณกับเพื่อนๆสลิ่มกระโดดงับหรือเปล่า?

แต่ดูจากคอมเมนต์คุณ ผมว่าคุณพร้อมรับทุกอย่าง"
4,2022-09-21 04:40:34+00:00,@tha_ilaw โอ๊ตด่าตู่  ป็อปด่าป้อม ฟังเพลินเลยในคอน
5,2022-09-21 02:19:53+00:00,@maimeeraija ถ้าฟังคือด่าป้อมตรงเลยครับ
6,2022-09-11 14:13:23+00:00,@NnnMaria1990 @Note17769319 @pran2844 ฉลาดหรือไม่คิดดูเอา ชนาดให้ตาแจ๊ส นายก.ปทุมด่าว่าจะระบายน้ำไม่ปรึกษาก่อน ถ้าให้ประวิตรมาล้วงลูกมึงก็ด่าป้อมมันอีก ยอมรับเถอะว่ากากจริง เอาในเขตตัวเองให้รอด ฝนตกเล็กๆน้อยๆก็ท่วม เพราะนโยบายบ้าๆบอๆ นี่ยังไม่รวมเรื่องตัดงบเฝ้าระวังน้ำที่อรรถวิชญ์แฉ
7,2022-09-11 13:15:55+00:00,@PravitR ต้องด่าป้อมค่ะ ป้อมดูแลเรื่องน้ำนะคะ
8,2022-09-08 04:31:21+00:00,เพราะต่างจังหวัดเป็นผู้ว่าแต่งตั้งทั้งหมด สลิ่มเลยงดเว้นไม่ด่า  เพราะด่าไปก็เหมือนด่าตู่ ด่าป้อม ด่ารัฐบาล !!!!
9,2022-09-01 08:02:15+00:00,ถ้าด่าป้อมแล้วโดนไล่ออกประเทศนี่ถือว่าเหี้ยปะ https://t.co/4uSV6gJtxl
