,Date,Tweet
0,2022-10-03 13:02:18+00:00,ทหารหื่นสับสาวฝรั่งส่งยาบ้าข้ามชายแดน กับแก้ผ้าคนตัวแล้วรุมโทรมกลางแจ้ง https://t.co/Ai0uCj2nU6
1,2022-10-02 04:19:08+00:00,รบมานานก็อยากปลดปล่อยน้ำเงี่ยนบ้าง หนังโป๊ทหารหื่น   เหมากระหรี่มุสลิมมาเย็ดให้หนำใจ ยืนกระเด้าปากจับกดหัวจนมิดโคน ไม่ได้เห็นหีนานควยแข็งสู้โคตรดี https://t.co/JRQYbBprUz
2,2022-10-01 02:19:44+00:00,ผู้กองทหารหื่นสั่งให้ลูกน้องผู้คุมคุก นำตัวนักโทษสาวเพิ่งเข้าใหม่มาเป็นทาสบำเรอกามบำบัดความเงี่ยน https://t.co/iYLjpNUSVa
3,2022-09-29 13:03:01+00:00,#ผนงรจตกม #ไม่เห็นหัวปชช #พอเพียง  #ไดโนเสาร์ #รั้วผุ #ทหารหื่น https://t.co/gNznwGaTsH
4,2022-09-26 13:35:16+00:00,โอ๊ยยยรัยไม่ได้ อย่าเอาน้องไอบึไปให้อีทหารหื่นกามดูเลย😭😭😭
5,2022-09-23 14:41:57+00:00,@MatichonOnline เห้ย ไวไปมุ้ยยยย แซงคดีทหารหื่นที่มาก่อนอย่างไว!!!
6,2022-09-20 18:09:20+00:00,"ตามหาผู้ชาย ค.ใหญ่ ค.ทำ 54-56 สนใจทักมาได้คะคัดพิเศษ ขอคนละ 1 รีทวิต นะ 
#นัดเย็ดหัวหิน #fwb #เด็กขี้เงี่ยน #ทหารหื่น"
7,2022-09-18 17:04:42+00:00,ทหารหื่นสับสาวฝรั่งส่งยาบ้าข้ามชายแดน กับแก้ผ้าคนตัวแล้วรุมโทรมกลางแจ้ง https://t.co/Ai0uCjkx8e
8,2022-09-18 10:50:17+00:00,ผู้กองทหารหื่นสั่งให้ลูกน้องผู้คุมคุก นำตัวนักโทษสาวเพิ่งเข้าใหม่มาเป็นทาสบำเรอกามบำบัดความเงี่ยน https://t.co/iYLjpNDPTa
9,2022-09-18 04:32:49+00:00,6️⃣ cc: @johnwinyu @fuxsuxlux @sirotek @virotali @Noom_Kanchai @prachatai @redcurry1966 @RangsimanRome @MFPThailand #ส่องทวิตยามเช้า #เรื่องเล่าเช้านี้ #ข่าวช่อง3 #ทหารหื่น
10,2022-09-17 13:50:57+00:00,"ภาคประชาชน จี้หยุดสองมาตรฐาน ยกคดีทหารคุกคามทางเพศ ขึ้นศาลทหารหวั่นล่าช้า-ช่วยเหลือกัน ย้ำต้องขึ้นศาลพลเรือน ตั้งกก.เอาคนนอกร่วมสอบ คืนความเป็นธรรมเหยื่อ พร้อมปฏิรูปทุกคดีที่เกี่ยวกับพลเรือน

อ่านข่าว : https://t.co/TPuqhgecVP

#เรื่องเล่าเช้านี้ #ข่าวช่อง3
#ข่าวสังคม #ทหารหื่น"
11,2022-09-17 11:29:56+00:00,มันก็เป็นซะหยั๋งเงี๊ยะ #ทหารหื่น #ทหารขี้เงี่ยน https://t.co/TSrjDRLgTf
12,2022-09-17 10:17:32+00:00,"ทหารคลั่งยิงกันตายในค่าย รมว.กลาโหมไม่มีความเห็น  ทหารหื่น ข่มขืนทหารหญิง ผู้เสียหายหลายราย รมว.กลาโหมไม่มีความเห็น

น้ำท่วมระยอง รมว.กลาโหม สั่งการเข้าช่วยเหลือทันที พร้อมลงพื้นที่ เยี่ยมเยียนประชาชน ส่วน รมว.มหาดไทย ไม่มีความเห็น

ไม่มีใครรู้หน้าที่ตัวเองซักคน 

#กูด่าได้ป่าววะ"
13,2022-09-17 07:23:24+00:00,ทำเหี้ยมาหลายวันพึ่งเผยชื่อ😃  #ทหารหื่น #ปฎิรูปกองทัพ
14,2022-09-17 05:44:14+00:00,#ทหารหื่น 😮‍💨
15,2022-09-17 05:14:22+00:00,"มูลนิธิเพื่อนหญิง ออกแถลงการณ์จี้ รมว.กลาโหม รณรงค์ทหาร ไม่ใช้ความรุนแรงในครอบครัว หลังมีกรณีทหารหื่น-ตบตีภรรยา 
@WassanaNanuam @armypr_news @prayutofficial @PMOC10 @thaigov1 @jomquan @thereportersth @pr_dms @PR_dmh #อิงฟ้ามาหาชน 
https://t.co/LXK74S3udv ผ่าน @MatichonOnline"
16,2022-09-17 05:09:25+00:00,ปฏิรูปองค์กรนี้ยากมาก นอกจาก Starlink ของ elon musk จะเป็นแบบ skynet ใน terminator อ่ะ #ทหารขี้เงี่ยน #ทหารหื่น #ทหารมีไว้ทําไม https://t.co/nPDHUijEdY
17,2022-09-17 05:09:14+00:00,มูลนิธิเพื่อนหญิง ออกแถลงการณ์จี้ รมว.กลาโหม รณรงค์ทหาร ไม่ใช้ความรุนแรงในครอบครัว หลังมีกรณีทหารหื่น-ตบตีภรรยา https://t.co/UuEeDJrkZU
18,2022-09-17 02:32:36+00:00,"สรุปให้ออก  #ทหารหื่น
   ติดตาม👉  https://t.co/8cAasABWIQ
#ข่าววันนี้ #ข่าวสด #ไม่ต้องมีวีไอพีก็ได้นะ https://t.co/imc8RKIvZN"
19,2022-09-17 01:48:31+00:00,@thaich8news ทำได้อย่างไงวะ. เป็นคนมียศศักดิ์ทำเสียสถาบัน ทหาร หื่นไม่หาเมีย ได้ไม่คุ้มเสียอับอายขายหน้า😩😫 ว่าแล้วเชียว
20,2022-09-16 11:34:21+00:00,"กองทัพบก ลงดาบ ปลดทหารหื่น ล่วงละเมิด พนักงานหญิงในหน่วย
#ทหารหื่น #ทหาร #กองทัพบก #อีจัน #EJanNews #ข่าว
https://t.co/0ppjgOarSf"
21,2022-09-16 11:32:18+00:00,#ผนงรจตกม #ทหารหื่น #โหนกระแส https://t.co/ImTZXqTdfT
22,2022-09-16 11:27:02+00:00,ใครมีคลิป มีรูปบ้าง #สิบเอก #ทหารหื่น  DM ส่งให้หน่อย https://t.co/883aAtYkWo
23,2022-09-16 09:50:29+00:00,"หืมมมมมมท่านรองคือมึงจะให้เรื่องเงียบ
แบบเฉยๆไม่ได้ ผู้หญิงเสียหาย
สุดท้ายกลายเป็นผิดซะงั้น
เอาเงินฟาดเก่งอีกแล้ว เงินภาษีประชาชนรึป่าว
#โหนกระแส
#ทหารหื่น 
#ปฏิรูปกองทัพ https://t.co/uTPLPnDbq5"
24,2022-09-16 09:11:26+00:00,"ทหาร ไม่ต้องคิดมาปฏิวัติ ปฏิรูปใครเลย องค์กรมึงเน่าหนอนที่สุดละ องค์ที่ควรถูกปฏิรูปอันดับ1คือทหาร 
#ทหารหื่น"
25,2022-09-16 07:55:25+00:00,ปลดทหารหื่นกามออกจากราชการแล้ว #คุกคามทางเพศ https://t.co/0ZRnbjAgMI
26,2022-09-16 07:04:21+00:00,"""กองทัพบก"" มีคำสั่งปลด ""สิบเอกหื่น"" พ้นราชการ ชี้ผิดวินัยทหาร ประพฤติชั่วร้ายแรง
อ่านต่อที่&gt;&gt;https://t.co/fpj85C3OaY
#siamrath #สยามรัฐ #siamrathonline #สยามรัฐออนไลน์ #ข่าววันนี้ #ข่าวการเมือง #การเมือง #กองทัพบก #ทหารหื่น"
27,2022-09-16 06:29:40+00:00,"ให้ออกแล้ว!!! พ.อ.หญิง ศิริจันทร์ งาทอง รองโฆษกทบ. เผยสั่งปลดส.อ.กิตติศักดิ์ ดวงประสาท ที่ถูกกล่าวหาล่วงละเมิดทางเพศทหารและจนท. หลังกก.สรุปผลมีมูล
.
โดยก่อนเป็นข่าวผู้เสียหายระบุว่าร้องเรียนหลายครั้ง แต่ถูกอ้างความเป็นเด็กนายเป่าคดีให้ 
#ทหารหื่น 
#ปฏิรูปกองทัพ https://t.co/QXPhOkcvL7"
28,2022-09-16 05:39:44+00:00,'เหยื่อทหารหื่น' ร้อง ผบ.ทบ. โดนต้นสังกัดซ้ำเติม ตั้ง กก. สอบทำเสื่อมเสีย https://t.co/vLNwQawYG6
