,Date,Tweet
0,2022-10-05 17:13:30+00:00,อิไลฟ์เนชั่นมากดไลค์เหรอ เรียกอีแอดมินมาดูแท็กนี้หน่อยค่า #แบนlivenationth ผู้จัดเดียวเลยเตงกล้าที่จะ https://t.co/eC7ijiRTTf
1,2022-10-05 11:57:54+00:00,คอนจัสตินก็ขายบัตรแล้วสบัดตูดหนี ตอนนี้เงียบกริบ แจ้งอะไรหน่อยก็ได้มั้ง #แบนlivenationth
2,2022-10-05 11:15:45+00:00,"ผู้จัดได้..เงิน 
ฟค.ได้ห่าอะไรก่อน?
#แบนlivenationth"
3,2022-10-05 11:15:20+00:00,ผู้จัดคอนปีนี้คือไรอะ ชิงรางวัลผู้จัดคอนเหี้ยดีเด่นหรอ อิไลฟ์เนชั่นก็กั๊กบัตร อิ DO ก็สิทธิ์ Send off เหี้ยจัด อิคอนกามิก็ไลฟ์สดฟรีอีก ถามจริงนะ เห็นลูกค้าเป็นอะไร #แบนlivenationth #BESTOFBEST_BKK #KamikazeParty22
4,2022-10-04 14:03:20+00:00,ดังขึ้นอีก 😭😭😭 เป็นคอนที่มีดีแค่เซบจริงๆเลยอ่ะ #แบนlivenationth https://t.co/erEY2p3BfH
5,2022-10-04 08:47:59+00:00,อ้าว… 💣 #แบนlivenationth
6,2022-10-04 08:46:11+00:00,อุ้ย #แบนlivenationth
7,2022-10-04 07:03:55+00:00,"คอนสนุกมากศลปแบกทุกอย่าง แต่ผู้จัดแย่ชห คะแนนเต็มร้อยคือติดลบ555555ตั้งแต่ติ่งมายังไม่เคยเจอผู้จัดที่โดนด่าทุกท้อปปิกเริ่มจากขายบัตรยันวันคอน เหมือนจัดงาน5บาท3บาท 
คนชดีมาก ดีลมาได้ขนาดนี้งงว่าทำไมจัดให้สมมงที่ดีลมาไม่ได้ งานหน้าอย่าจัดเลยนะคะ ขอ
 #BETHESUNinBKK #แบนlivenationth"
8,2022-10-04 06:39:49+00:00,ใครจะไปคอนที่ผู้จักเป็น ลนช มาดูแท็กเพื่อพิจารณากันได้นะ เป็นกะรัตมันเจ็บกันเยอะมากจริงๆ #แบนlivenationth
9,2022-10-04 02:10:08+00:00,"เราทำตามกติกาทุกอย่าง สมัครมบช กดในระบบที่นั่งกดไม่ได้เยอะมาก  หลังจากนั้นมารู้ทีหลังว่ามีแพคเก็จทัวร์ของญี่ปุ่น #แบนlivenationth
ไม่แจ้งล่วงหน้าว่าจะมีบัตรขายหน้าคอน(ล่วงหน้าที่เตรียมตัวมาซื้อได้ ไม่ใช่ล่วงหน้า1หรือ2ชั่วโมง ไม่ได้มีบ้านอยู่แถวอิมแพคที่จะเปิดประตูออกมารอซื้อได้"
10,2022-10-03 23:36:09+00:00,เราไม่อยากให้แฟนคลับด้อมไหน โดนแบบด้อมเราอีกค่ะ ครั้งนี้คอนเซบผู้จัดนี้แย่ตั้งแต่เริ่ม จนจบ เอาเปรียบผู้บริโภค ใช้คำพูดที่ไม่เหมาะสมกับผู้บริโภค ไม่มีความเป็น Professional บริหารจัดการได้แย่มากๆค่ะ #แบนlivenationth
11,2022-10-03 18:47:02+00:00,โมโหๆๆๆๆๆๆๆๆๆๆโมโหมาก ถ้านี่เป็นคอนเซบครั้งแรกของใครหลายๆคน บอกเลยว่าแกได้ทำลายความประทับใจของฟคไปเยอะมาก ทั้งหมดมันดีเพราะเซบเลย รอบหน้าไปหาเทคคอร์สจัดคอนอย่างไรให้ไม่โดนด่านะ กราบล่ะ #แบนlivenationth
12,2022-10-03 18:43:17+00:00,"กลับมาตอบคำถามหน่อยว่าทำไมบัตร4,800ถึงมองไม่เห็นอะไรเลย ยกทำไม หยอกเล่นหรอ55555555 @livenationth #แบนlivenationth"
13,2022-10-03 18:42:44+00:00,จัดงานเอาสังคมหรอ จัดแบบนี้สังคมก็ไม่ได้หรอก #แบนlivenationth
14,2022-10-03 17:59:05+00:00,ปีนี้กูหมดเวร หมดกรรม กับผู้จัดเจ้านี้แล้ว ลนช.เนี่ย พีคขึ้นทุกวัน #แบนlivenationth
15,2022-10-03 16:00:12+00:00,ส่วนพี่ไทยนั้น เงินมันหอมมมมมม ยิ่งขายต่างชาติได้ยิ่งกำไร  #แบนlivenationth https://t.co/oGQHEKKJUY
16,2022-10-03 15:27:01+00:00,งงในความเล่นใหญ่ คนเข้างานต้องชื่อตรงกับบัตรเข้างาน มาบอกขายได้ตอนใกล้ๆคอน แต่มีเงื่อนไขคือจูงมือพากันเข้า ต้องมีจขบัตรอยู่ด้วย ถึงเข้าได้ สรุปวันงาน ไม่ตรวจบัตรปชช วัคซีน ติ้ดบัตรเข้างานอย่างเดียว จบ จะเล่นใหญ่ทำมายยยย? #แบนlivenationth
17,2022-10-03 13:25:04+00:00,หน้าเว้บบอกอย่างนึง หน้าเพจบอกอีกอย่าง ทักไปถามตอบอีกอย่าง หน้างานจริงๆเป็นหลังตีนเลยไอสัส ก่อนพี่จะจัดโชว์พี่จัดการตัวเองก่อนเลย #แบนlivenationth
18,2022-10-03 13:24:16+00:00,พูดสั้นๆคือ ผู้จัดคอนเซบรอบนี้ ลงทุนซื้อโชว์เซบมา แต่ไม่ลงทุนกับลูกค้าตัวเองเลย เหมือนคิดแค่ว่ายังไงติ่งก็ต้องไปดู จะทำมั่วแค่ไหนก็ได้ เพราะยังไงคนก็จ่าย หากินกับแฟนคลับเกาหลีมันง่ายขนาดนี้เลยหรอ อย่างน้อยถ้าจะไม่ให้เกียรติแฟนคลับ ก็ช่วยให้เกียรติศิลปินหน่อย #แบนlivenationth
19,2022-10-03 13:19:04+00:00,พร้อมละเริ่มเลย เป็นความอัดอั้นตันใจทั้งหมดตลอดเกือบ3เดือน ตั้งแต่วันประกาศขายบัตรจนคอนจบ เรื่องดีๆ อย่างเดียวที่เจอตลอดคอนนี้คือเซบทีนกับพวกสตาฟที่ทำงานพาร์ทโชว์ให้เซบ ทั้งสตล เมคอัพ เมเน เป็นต้น #แบนlivenationth
20,2022-10-03 12:03:21+00:00,#แบนlivenationth บังทั้งเงาแดงๆ และอิลำโพงนี่ https://t.co/BMZkUOG3B4
21,2022-10-03 11:53:44+00:00,#แบนlivenationth เลยค่ะ รวมมิตรมหกรรมเอาเปรียบผู้บริโภคเว่อ ทำทุกอย่างเหมือนแฟนไทยไม่ใช่ประเทศที่จัดคอน https://t.co/jEvc8GuMBR
22,2022-10-03 11:35:01+00:00,เรื่องตรวจของเข้างานก็เหมือนกัน เข้าไปก็เห็นมีคนถือไม้เซลฟี่ ยื่นถ่ายไปเลยจ้า วันเสาร์ก็มาเป็นบ้องเลย คือผ่านได้ไงก่อน #แบนlivenationth
23,2022-10-03 11:28:54+00:00,บัตรแข็งก็ไม่ได้ โปสเตอร์ก็ไม่มี สิทธิ์ก็มีแต่บัตร 65 #แบนlivenationth #SEVENTEENTH2022
24,2022-10-03 10:43:19+00:00,เรานั่งฝั่งขวาทั้งสองวัน ละคือต้องมองจอฝั่งซ้ายตลอด มองฝั่งขวาละแบบ… ไม่โอเลยย ละโพงบังหน้า บังจอไม่พอ ละมีขีดๆที่จอตอนฉายอีก อยากรู้แค่ว่าได้เทสก่อนวันงานบ้างไหม  #แบนlivenationth https://t.co/SaU3BVS1Oj
25,2022-10-03 10:36:17+00:00,นี่อีกหนึ่ง entrace คืออะไรคะ แปลว่าอะไรรร ผจ เขาจัดงานกันแบบนี้หรอ มันผิดบ่อยไปนะ และมันก็ไม่ควรผิดด้วยค่า  #แบนlivenationth https://t.co/BrFR4CmhXb
26,2022-10-03 09:45:49+00:00,เป็นติ่งก็พออย่าเป็นเหยื่อมันเลยค่าา #แบนlivenationth https://t.co/DmYPBkFa7B
27,2022-10-03 09:31:26+00:00,ละ backdrop ไว้ข้างในหลัง ไว้ทำไม๊!!! คนมาแต่เช้าเผื่อมาถ่ายรูป ก็ไม่ได้ถ่าย เพราะยังเข้าไม่ได้ ละก็ต้องมายื่นต่อแถวกันยาวเหยียดหลังจากประตูเปิดให้เข้าได้ #แบนlivenationth https://t.co/tnn39uKg3c
28,2022-10-03 09:29:40+00:00,".
   สินค้าราคาโปรโมชั่น 990฿.- ทุกสี 
จัดส่งฟรีถึงสิ้นเดือนนะค่า 🇹🇭🇯🇵🇰🇷🇭🇰🇺🇸🇬🇧

#ตลาดนัดnct #ตลาดนัดsanrio #ส่งต่อคสอ #ส่งต่อเสื้อผ้ามือสองสภาพดี #ส่งต่อรองเท้า #แบนlivenationth #กลับมาคบกันเถอะ #คิมซูฮยอน #LISAXBVLGARI #เตนล์ #นายก8ปี #วอลเลย์บอลหญิงไทย https://t.co/Np1jOXE0aP https://t.co/hm4tdV32OC"
29,2022-10-03 09:26:19+00:00,งงกับการห้ามเอาน้ำเข้า แต่ข้างในมีน่ำขาย อาหารขาย เอ๊ะ!!! ละถือเข้าไปกินในฮอลได้เลยด้วยนาจา ละยิ่งงงเข้าไปใหญ่ คือ เอาน้ำเข้าได้ แต่ต้องเอาฝาออก เพื่อ!!!! นี่ยังหาคำตอบไม่ได้ ละพอคอนวันแรกจบ กำลังจะเดินออก นี่เจอน้ำเอ่อเต็มพื้นเลยจย้าา #แบนlivenationth https://t.co/70IzR20Umw
30,2022-10-03 09:10:34+00:00,สองวันที่ผ่านมาคือแบบ ลำโพงจะบังไปไหนคะ ละจออะค่ะ เยิบมาอีก หรือมีอีกจอไม่ได้รึไงง งง ทีตั้งโล่ง ละมาแค่เนี่ย ละจะขวาเนี่ยคือไร ให้ภาพเล่าเรื่องเนอะ 😒 #แบนlivenationth https://t.co/OPijXIxoRI
31,2022-10-03 07:54:38+00:00,บัตรแข็งก็ไม่มี #แบนlivenationth
32,2022-10-03 07:34:32+00:00,กูส่งรูปบรรยากาศในคอนให้น้อง แอ๋วดู น้องมันบอก สภาพเก้าอี้ไม่ได้ให้เกียรติ์ราคาบัตรพี่เลย 😂🤣😂กูไม่รู้จะขำหรือร้องไห้สงสารตัวกูเลยค่ะ ผังก็นะ ใดๆนั้น #แบนlivenationth  ค่ะ
33,2022-10-03 06:37:23+00:00,แล้วมีอีกหลายงานที่รอจัดกับนาง แว่วๆว่าบพด้วยมั้ย เกียมรับความชอบlose 🥹 #แบนlivenationth
34,2022-10-03 06:15:58+00:00,"รีวิว BE THE SUN IN BKK
มีจอแอลอีดีแค่2จอหันหน้าตรง ลำโพงบังจอไปอีก แสตนไม่แข็งแรง ไม่มีการตรวจบัตรประชาชนแล้วจะให้ชื่อตรงกับบัตรเพื่อ? ไม่ให้เอาน้ำเข้าไปข้างในมีขายนึกว่ายุสนามบิน น้ำที่เอาเข้าไปได้แต่ต้องทิ้งฝา เพื่อให้มันหก #แบนlivenationth ใดๆ ไม่ประทับใจอะไรในงานเลยนอกจากเซบ"
35,2022-10-03 05:49:59+00:00,"งานดู  YouTobe เพลง ได้เงินแน่นอน
❣️แค่มีโทรศัพท์.กับอินเทอร์เน็ต📱
❣️เป็นเงินไทยไม่ใช้บิทคอย💸
สนใจทักมาสอบถามรายละเอียดงานได้เลย #งานออนไลน์ #วอลเลย์บอลหญิงไทย #น้ําท่วมเชียงใหม่ #เป็นห่วงนะงับ #Liveโค้ช  #เตนล์ #แบนlivenationth  #BTSV #winmetawin #กลับมาคบกันเถอะ https://t.co/jvLydmiSol"
36,2022-10-03 05:16:51+00:00,"คอนจบแล้วฟ้องลนช.ได้ยังคะ
#แบนlivenationth
#SEVENTEENTH2022"
37,2022-10-03 04:15:16+00:00,ความพีคของลนชไม่จบแค่นี้ คำง่ายๆอย่าง Entrance กับ Notice ยังสะกดให้ถูกไม่ได้ ละเด่นหราเป็นสง่าทั่วงาน อายแทนอ่าเตง #แบนlivenationth https://t.co/bG0DBjtEj5
38,2022-10-03 04:12:30+00:00,แผนการขายบัตรก็ทุเรศค่ะ เปิดขาย3วันที่ไม่มีอะไรพิเศษ ตอนใส่โค้ดไปซื้อก็มีปัญหา ละกั๊กบัตรจนวินาทีสุดท้าย แถมยังมี walk in 555 wtf ให้สมัครสมาชิกไปเพื่อไรคะ เห็นจัดมาตั้งหลายคอน สรุปเก็บบัตร6500ให้สปอนไปนั่งกดมือถือเล่น ส่วนฟคก็นั่งหลังๆเพราะหาบัตรไม่ได้55   #แบนlivenationth
39,2022-10-03 03:51:54+00:00,และเหมือนจะไม่เคยทำการบ้านเรื่องวงที่มาเท่าไหร่ ตามมุกไม่ทันจนแปลไม่เข้าใจ น้องพูดมา 100 แปลแค่ 10-15 งี้ ครั้งหน้าขอให้ทำการบ้านมาเยอะๆนะคะ เทียบกับครั้งก่อนล่ามเก่งกว่าค่ะ (-2)#BETHESUNinBKK #SEVENTEENTH2022 #SEVENTEEN #แบนlivenationth
40,2022-10-03 03:51:53+00:00,ขออนุญาตฟีดแบคเรื่องล่ามนะคะ ไม่ได้อยากตัดกำลังใจคนทำงาน แต่การแปลไม่ราบลื่น เห็นว่าแปลผิดไปหลายบริบทด้วย (-1) #BETHESUNinBKK #SEVENTEENTH2022 #SEVENTEEN #แบนlivenationth
41,2022-10-03 03:41:10+00:00,เอาไงเราสามารถฟ้องผู้จัดได้มะ บัตร4800มันแค่นี้จริงๆหรอ มันควรจะอะไรมากกว่านี่ ที่นั่งแย่เวทีแย่ทุกอย่างแย่ยกเว้นเซบ ใครจะฟ้องเค้าร่วมด้วยนะคะ #SEVENTEENTH2022 #แบนlivenationth
42,2022-10-03 03:04:46+00:00,บพ.กับเด็กหลงก็ผู้จัดนี้ใช่ไหม คือทำอะไรได้ไหม อยากให้เปลี่ยน… #แบนlivenationth
43,2022-10-03 02:05:51+00:00,#แบนlivenationth ทีม 1 @jypnation มาดูแท็กนี้หน่อยค่าาาาา สะเตไม่ต้องการผู้จัดนี้เปลี่ยนได้มั้ย บ้งตั้งแต่เลือกวันจัดงานละ คิดได้ไง จัดคอน พฤ ศ #StrayKids
44,2022-10-03 01:32:54+00:00,รีวิวอีไลน์เนชั่นแบบสั้นๆคือ เหี้ยตั้งเเต่กดบัตรจนวิสุดท้ายของคอนเซบเลยจริงๆ ให้ใส่ชื่อหน้าบัตรเเต่มึงไม่ตรวจจะให้ใส่เพื่ออะไร??? #แบนlivenationth
45,2022-10-03 01:28:24+00:00,"@pledis17_STAFF @HYBEOFFICIALtwt 
Thank you and see you soon! :)
But next time please don’t choose this organizer again !!!
If you want to know how suck they are.
Check on this #แบนlivenationTH https://t.co/yqiGBTdGDk"
46,2022-10-03 00:51:17+00:00,เงาบนจอแบบนี้ปกติมั้ยอ่ะ แต่ขัดใจมาก ครึ่งจอเลยนะ #แบนlivenationth https://t.co/rOaMNmWD2d
47,2022-10-02 23:48:16+00:00,สุดท้ายนะจ๊ะ~ ถ้าทำคอนเสริ์ตแล้วมันบ๊งแบบนี้ ไม่ต้องจัดจ้า ทำงานแบบไม่มืออาชีพ เรื่องสถานที่อ่ะเรื่องใหญ่ ยันบัตรเข้าชม เกินไป ครั้งสุดท้ายนะ กูของร้องเลย @pledis17_STAFF อย่าใช้ผู้จัดเจ้านี้อีกเด็ดขาด #แบนlivenationth
48,2022-10-02 23:22:12+00:00,คอนหน้ากับศลป.เธอปรับปรุง แต่คอนนี้ล่ะผจ.จะชดใช้ยังไงพวกฉันสมควรต้องมาเจอระบบการทำงานห่วยแบบนี้หรอ แล้วฟค.ต่างชาติ50%มั้งส่วนกะรัตไทยได้แต่โซนที่ไม่ดีหาบัตรไม่ได้ คราวหลังผจ.ก็จัดที่ญี่ปุ่นไปเลยไม่ต้องมาจัดที่ไทย แล้วให้ผจ.อื่นที่เขาพร้อมซัพพอร์ตฟค.ไทยมาจัดงาน #แบนlivenationth
49,2022-10-02 19:10:16+00:00,"#SEVENTEENTH2022 #BETHESUNinBKK 
ได้เท่านี้กุบ่นเตลิดเปิดเปิงละมีคนจ่ายแพงแต่ทัศนวิสัยแย่กว่ากุอีก ถึงเวลาแล้วหรือยังที่เราจะ #แบนlivenationth https://t.co/MOF9KN6tyL"
50,2022-10-02 18:46:12+00:00,วงไหนที่มีคิวจัดคอนหลังเซบ ตะโกนบอกค่ายไว ๆ เลยนะคะ #แบนlivenationth
51,2022-10-02 18:42:39+00:00,เอาจริงนี่ก็อยากฟังคำตอบอยู่นะว่าพสต่างชาติคือชีแย่งกันกดเหมือนกะรัตไทยจริงๆหรือชีได้มาด้วยวิธีไหนกันแน่อะ เพราะนี่กดเว้บกันเองกะพี่ยังได้ที่นั่งไม่ติดกันเลยต้องหาแลกคนใกล้ๆ 🔥 แต่ข้างเราคือพสญปเดินจับมือกันมาหวานกรุบเว่อหลายนางเชียว (ของเรา A5 นะคะ) #แบนlivenationth
52,2022-10-02 18:35:04+00:00,ไม่ต้องจัดคอนให้ใครแล้วนะ ให้มันจบแค่นี้  #แบนlivenationth
53,2022-10-02 18:28:55+00:00,"มารีวิวคอนเซบค่า
1.การจัดการห่วยมาก ในรูปคือประมาณ 50 นาทีก่อนคอนเริ่ม ตามทางมีบอกให้เตรียมบัตรปชช. สรุปไม่ตรวจชื่อ e-ticket ก็ไม่ได้ดู แค่ขอแล้วก็เอาเครื่องมายิงบาร์โค้ดจบ ละนี่มาไถๆแท็กอีกคือ 15 นาทีคนก็ยังเป็นแบบในรูป ส่วนตรวจกระเป๋าให้เรียกล้วงเถอะ555555
#แบนlivenationth https://t.co/Is9YxPEWjf"
54,2022-10-02 18:21:37+00:00,วันนี้กู ไปดูคอนเซฟ บัตร 48 เสาบัง  แล้วเด็กหลงคือมากับผู้จัดนี้หรอ เปลี่ยนใหม่แหน่ #แบนlivenationth
55,2022-10-02 18:19:08+00:00,เหมือนมางานมหกรรมอะไรสักอย่าง จัดการเรื่องสถานที่จัดแสดงไม่ได้ก็แย่แล้วยังหาวิธีการจัดการตำแหน่งที่นั่งคนดูให้เหมาะสมกว่านี้ก็ยังทำไม่ได้อีกหรอคะ ไม่ได้เล่นขายของนะเสียเงินเป็นหมื่นเหมือนกัน #แบนlivenationth
56,2022-10-02 18:16:44+00:00,"ขอร้องรอบหน้าอย่าเอาเซบมาเลยถ้าจะบริหารจัดการแบบนี้ คืองงว่ายกยังไงให้มองไม่เห็นกว่าเดิม ที่นั่ง4,800คือได้แค่นี้จริงๆใช่ไหม แล้วถ้าคนที่เขาไกลกว่านี้จะทำยังไง พูดตรงๆว่าช็อตฟีลเด้อจัดงานออกมายังไงให้หลายๆคนไม่สนุกเท่าที่ควรจะเป็น #แบนlivenationth"
57,2022-10-02 18:03:38+00:00,สินค้าบอกว่ามีขายสำหรับ 2 วันแต่เอา trading card สำหรับขายวันอาทิตย์ไปขายหมดตั้งแต่วันเสาร์🙃 #แบนlivenationth
58,2022-10-02 18:00:26+00:00,การล็อคบัตรเป็นอะไรที่นิสัยไม่ดีมากและใจร้ายมากนะไหนจะจัดฮอลเล็ก เวทีจึ๋งนึง  เหมือนกำลังดูถูกกะรัตไทยนะเอาดี ต่อให้เจตนาจริงๆ จะไม่ใช่ แต่ทำแบบนี้มันเหมือนโดนตบหน้ากลางสี่แยกอ่ะค่ะ หน้าสั่นสิตอนเห็นมีบัตรขายหน้าคอน #แบนlivenationth
59,2022-10-02 17:41:57+00:00,อีปัญหาฝาขวดไม่ฝช่เพราะมันกลัวอันตราย ถามหน่อยแค่ฝาถึงกับมีบาดแผลอะไรก่อน มันคือการตลาดของมันค่า กูซื้อเป๊ปซี่ป๋อง40บาท! ตั้งคำถามกระป๋องยังอันตรายกว่าฝาขวดน้ำเปล่าอ่ะป่าว!? #แบนlivenationth
60,2022-10-02 17:41:13+00:00,#แบนlivenationth
61,2022-10-02 17:38:08+00:00,#แบนlivenationth https://t.co/EqxGhehjLQ
62,2022-10-02 16:52:39+00:00,ส่วนของนี่ตรวจกระเป๋าคือแค่เปิดดูเฉยๆ แล้วตอนตรวจบัตรคืองงมากทำมาเป็นใส่ชื่อดูให้ตรงกับบัตร พอวันจริงไม่มีเลยจ้าาา เดินผ่านไปแบบงงๆ ไม่ดูไรด้วยสักแต่ตี๊qrไม่ดูไรทั้งสิ้นปล่อยผ่านเลยอะ ปล่อยเข้าเลย สต๊าฟไม่สนใจอะไรใดๆทั้งสิ้น #แบนlivenationth https://t.co/yRY4lJnfek
63,2022-10-02 16:49:07+00:00,เรื่องความเหี้ยผู้จัด อันนี้คือไม่เถียงเพราะเหี้ยจริง แต่ด้วยความที่ขี้เสือกเลยถามการ์ดระหว่างรอคอนเริ่มว่าทำไมไม่ให้เอาฝาขวดน้ำเข้า ซึ่งเขาอธิบายดีแล้วเข้าใจได้ เหตุผลคือขวดที่มีฝามันปาได้ไกลและแรง แต่ไม่มีฝามันปาแล้วน้ำหกรู้เลยว่ามาจากไหนและปาได้ไม่ไกล #แบนlivenationth
64,2022-10-02 16:45:42+00:00,แบน #แบนlivenationth
65,2022-10-02 16:43:58+00:00,"บนที่ไหนได้บ้างว่าให้คอนเด็กหลงเปลี่ยนผู้จัด เป็นไปได้ยากแหละ แต่อยากให้เป็นไปได้;-; 
#แบนlivenationth"
66,2022-10-02 16:40:22+00:00,ไม่รู้ค่ายต้องการให้ล็อคบัตรหรือเพราะผู้จัดล็อคเองเพราะกลัวขายไม่ออกแต่ผู้จัดต้องรับผิดชอบค่าเพราะแอดมินมึงเป็นคนบอกบัตรขายหมดไม่มีล็อคไม่เหลือ สุดท้ายได้มาขายหน้าคอนอะ คิดว่าคนไทยไม่มีเงินซื้อบัตรหรอวะ ถึงล็อคบัตรขายให้ทัวร์แบบหน้าด้านๆรอบข้างไม่มีคนไทยสักคน อห #แบนlivenationth
67,2022-10-02 16:39:03+00:00,"ได้มีโอกาสคุยกับคนที่ได้ทำงานกับผู้จัดเจ้านี้ การจัดการกับคนที่จ้างมาก็คือพังมาก communication สำคัญมากๆนะ แต่คือขนาดจ้างคนมายังละเลย พอฟังละก็ไม่แปลกใจว่าที่มีงานบางส่วนออกมาแปลกๆ ไม่ smooth
ถ้าไม่พร้อมก็อย่าหาจัดงานเกาหลีอีก🫠 #แบนlivenationth"
68,2022-10-02 16:17:57+00:00,ที่สุดของความ #แบนlivenationth https://t.co/00qIBQ6Tl2
69,2022-10-02 16:12:00+00:00,บัตร 2800 โซน I โล่งมากเลยค่ะแบบโล่งจริงๆโล่งประมาณ3-4 แถวเลยค่ะ เสียใจแทนคนที่อยากดูแต่ไม่ได้บัตรมากเลยค่ะ😭 #SEVENTEENTH2022 #แบนlivenationth #BETHESUNinBKK
70,2022-10-02 16:05:03+00:00,ขอผู้จัดไม่ผีด้วยนะคะ #แบนlivenationth
71,2022-10-02 16:04:34+00:00,#แบนlivenationth https://t.co/klMKxYJOat
