,Date,Tweet
0,2022-10-05 18:29:08+00:00,@infinit_dreamer i only rmbr watching sotus and some waterboyy series lol
1,2022-10-05 18:28:33+00:00,SOTUS 🏃😉 https://t.co/Vci2PG2gBF
2,2022-10-05 18:23:35+00:00,@infinit_dreamer may of this year ! i started with semantic error. (i technically watched sotus first but i never continued after that until SE)
3,2022-10-05 18:20:46+00:00,"@infinit_dreamer 2018/Love Stories in Bangkok + then SOTUS. Then 20” fell into Lovesick, found abt s2 of SOTUS and never looked back, I’ve watched  200+ so far"
4,2022-10-05 18:00:03+00:00,"10/6 の新刊をお知らせします。
 SOTUS（3）
慧/BitterSweet
https://t.co/yqb6HqcwOo"
5,2022-10-05 17:58:50+00:00,"@infinit_dreamer I watched SOTUS I think at the end of 2016 and I was like uh? Interesting. But then I watched Waterboyy &amp; was like, nope, bye. 😅 But I came back to the bl fandom with Theory of Love in 2020 and so far I'm here to stay."
6,2022-10-05 17:55:44+00:00,SOTUSでしか得られないぱぴがいるから摂取したいけどその前にセオラブとNMもう一周したさあるし見てないドラマ見ちゃいたい気持ちもあるわたしが足りない
7,2022-10-05 17:44:57+00:00,จูบแรกนี้มัน....
8,2022-10-05 17:43:48+00:00,次、何見ようかなぁ…(12話あると思ってたら10話で終わってしまったので、SOTUSもう1回見ようか迷い始めてる)
9,2022-10-05 17:37:48+00:00,"Sotus di sicuro
Dark blue kiss non mi ispira https://t.co/dauSNVQ4VY"
10,2022-10-05 17:29:10+00:00,"Ho amato entrambi, Ma il primo amore non si scorda mai quindi sotus sempre e comunque❤️ https://t.co/Wa5sgSLxxX"
11,2022-10-05 17:28:40+00:00,entãO acho essa difícil pq dbk o que salva é o casal secundário mas infelizmente sotus envelheceu mt mal então sou obg a salvar dbk https://t.co/CYgnrR9r3d
12,2022-10-05 17:23:46+00:00,Dark blue kiss dovrei guardarmelo per bene per cui per il momento dirò SOTUS ~ gli shakkini rosa degli ingegneri non si dimenticano https://t.co/XwMMtiNDGL
13,2022-10-05 17:19:01+00:00,idk if we can call it a bl but i started with puppy honey (2016) and next one was SOTUS https://t.co/BOW7YPq5Ol
14,2022-10-05 17:12:25+00:00,"i started in '18 with the legendary SOTUS but it was unintentional cuz i was searching for uni orientation related things and it suddenly popped up... i didn't know it was BL but the storyline was fun n i got too absorbed 😆 since then, I've been watching more BLs 😂🤣 https://t.co/DS8CxdUxwu"
15,2022-10-05 16:53:00+00:00,"@_amonds se apure pra gnt assistir Sotus, beijooo"
