,Date,Tweet
0,2022-10-03 16:32:14+00:00,คหสต. คิดว่าเรื่องนี้ไม่ได้ controversial อะไรขนาดนั้น (แก้ไข112 ด้วย) เราว่าคนทั่วไปจำนวนไม่น้อยพอเข้าใจได้ มันมีบางนโยบายที่ controversial และเสี่ยงจะเสียคะแนนโหวตมากกว่าอีกถ้าจะเสนอ เช่น ล้างหนี้กยศ.
1,2022-10-03 04:49:45+00:00,"ทีดีอาร์ไอเตือน! “ล้างหนี้กยศ.” ยังไม่เหมาะกับไทย
  #wernews #เตือน #tdri #หนี้ #กยศ #ปลดหนี้ #หนี้สิน #กู้กยศ #ไม่เหมาะสม #ไทย #หนี้กยศ #ข่าววันนี้ https://t.co/0QTHyC6fNp"
2,2022-10-03 02:59:57+00:00,"ทีดีอาร์ไอเตือน! “ล้างหนี้กยศ.” ยังไม่เหมาะกับสังคมไทย
https://t.co/VYAxu1iPLL

#TNN #TNNThailand #TNNช่อง16 #TNNONLINE"
3,2022-10-03 01:01:52+00:00,"นิด้าโพล ‘กยศ.' ประชาชนเห็นด้วยไม่เก็บดอกเบี้ยเงินกู้ แต่ไม่เห็นด้วย หากจะล้างหนี้ https://t.co/tHtH1bPuR8 
#thebangkokinsight"
4,2022-10-03 00:27:42+00:00,@thaipost คนที่จะออกกฏหมายล้างหนี้กยศ.ลองไปออกเงินกู้นะจะได้รู้สึก
5,2022-10-02 23:25:00+00:00,"คนไทยหนุนสภา เลิกดอกเบี้ยกยศ. แต่ค้านล้าง‘หนี้’ https://t.co/PfDfAVqEIj 
#หนังสือพิมพ์ #ไทยโพสต์ออนไลน์ #ไทยโพสต์"
6,2022-10-02 10:13:42+00:00,"""นิด้าโพล""ชี้ ปชช.ค้าน ""ล้างหนี้ กยศ."" เห็นด้วยยกเลิกดอกเบี้ย
https://t.co/BDiC7Df3r2"
7,2022-10-02 07:35:05+00:00,"""นิด้าโพล""ชี้ ปชช.ค้าน ""ล้างหนี้ กยศ."" เห็นด้วยยกเลิกดอกเบี้ย

#NationOnline #ข่าววันนี้ #กยศ

https://t.co/lBuHy4KINh"
8,2022-10-02 05:07:32+00:00,"นิด้าโพล เผยปชช.เห็นด้วย กยศ.เลิกคิดดอกเบี้ย-เบี้ยปรับ แต่คัดค้านล้างหนี้หวั่นหนุนขาดวินัย
https://t.co/HsbE6gMA9C
#TNN #TNNThailand #TNNช่อง16 #TNNONLINE"
9,2022-10-02 03:27:40+00:00,"โพลชี้ประชาชนค้านล้างหนี้ กยศ. เพราะอาจทำให้ขาดความรับผิดชอบ แต่เห็นด้วยให้เลิกเก็บดอกเบี้ย-เบี้ยปรับ กยศ. ไม่ควรมีการเก็บดอกเบี้ย 
#TheStandardNews 
https://t.co/z30yOXYJ7U"
10,2022-10-02 02:13:51+00:00,#นิด้าโพล ปชช.ค้านล้างหนี้กยศ. แต่เห็นด้วยยกเลิกเก็บดอกเบี้ยและเบี้ยปรับผิดนัดชำระหนี้ https://t.co/MOP4I9iKSg
11,2022-10-02 01:29:49+00:00,"นิด้าโพล ชี้ประชาชนค้านล้างหนี้ กยศ. แต่เห็นด้วยยกเลิกดอกฯและเบี้ยปรับ 
กดอ่าน https://t.co/WT51yoLXL7 https://t.co/awsWOo4Ots"
12,2022-10-01 03:55:19+00:00,นึกแล้วปวดหัวคนให้ล้างหนี้กยศผ่าน สงสารเด็ก ถ้ารัฐบาลยังเบี้ยวอยู่ต่อแล้วไม่แก้กฎหมาย เด็กหลุดออกจากการศึกษาเยอะกว่านี้แน่ๆ
13,2022-09-30 14:38:33+00:00,อินฟลูที่ด่าล้างหนี้กยศ.ได้รางวัลเหรอ จ้า
14,2022-09-30 06:58:17+00:00,ถอดบทเรียนนโยบายล้างหนี้ กยศ. ของสหรัฐอเมริกา | KEY MESSAGES https://t.co/XgEQBsOTp0 ผ่าน @YouTube
15,2022-09-30 06:29:15+00:00,คิดจะให้กยศล้างหนี้ แล้วคุณล้างจานที่บ้านหรือยัง
16,2022-09-28 13:10:09+00:00,@PJerdja @fnky7_ ยังไม่ผ่านนะครับ หนี้ยังไม่หมดครับ ไม่มีใครบอกนะครับว่าการล้างหนี้ไม่สมควร แต่ถ้าล้างหนี้ปี40ได้ ทำไมล้างหนี้กยศ​ไม่ได้ครับแล้วหนี้ปี40มันเป็นหนี้ที่จ่ายให้กับต่างประเทศนะครับ เงินออกนอกประเทศไป 2.5 ล้านๆบาทเทียบกับหนี้กยศที่เป็นหนี้ของรัฐบาลแค่โยกงบไป แบบไหนมันง่ายกว่ากันครับ
17,2022-09-27 13:55:56+00:00,ถอดบทเรียนนโยบายล้างหนี้ กยศ. ของสหรัฐอเมริกา | KEY MESSAGES https://t.co/0rnWJJTj3N via @YouTube
