,Date,Tweet
0,2022-10-04 22:56:31+00:00,"อีโค้ชคีย์บอร์ดทั้งหลายที่ด่าโค้ชด่านกฬอ่ะเคยแข่งกีฬามั้ย มึงจะให้คู่แข่งมาแข่งโดยไม่ต้องศึกษาคู่ต่อสู้หรอขนาดทีมไทยยังศึกษาคู่ต่อสู้ 
อีควายสมองเซลล์เดียวโง่เง่าเหมือนไอ้ตู่ ไอ้ป้อมเลย #วอลเลย์บอลหญิง"
1,2022-10-04 14:51:10+00:00,เกลียดไอ้ป้อม โทรไปทำไม ตัวซวยจริงๆเลย มึง ไม่มีไรอยากด่ามันเฉยๆ 55555 #วอลเลย์บอลหญิง
2,2022-10-03 19:05:11+00:00,"@njswhyw_ ไม่ด่าผู้ว่า หน่อยเหรอ 

ป้อมหน่ะเขาโทรหาผู้ว่ามึงแล้วจร้า แต่ผู้ว่ามึงไม่รับสาย ไอ้ควาย 55555+"
3,2022-10-03 08:52:22+00:00,@Sand99258539 @suthichai จริงๆไอ้ยุทธ์หลอกด่าไอ้ป้อม
4,2022-09-30 01:51:08+00:00,อยู่ต่อก็ดีจะได้มีคนให้ด่าถ้าออกไปก็ดีประเทศเจริญแต่ยังมีไอ้ป้อมอยู่นิหว่า  #ประยุทธ์ออกไป
5,2022-09-29 02:04:37+00:00,@MatichonOnline ขี้ไม่ออก น้ำท่วม ทุกเรื่องโทษแต่ชัชชาติคนเดียว เล่นแรงไปนะอีป้า มึงไม่ไปด่าไอ้ป้อมไอ้ตู่ล่ะ ปล้นอำนาจ 8-9 ปี ทำอะไรให้ชาติบ้านเมืองมั่ง มึงมาด่าอะไรผู้ว่า ท่านไม่ได้เป็นนายก ปัญญาอ่อน
6,2022-09-28 15:23:41+00:00,เมื่อเย็นน้องสาวไปหทัยราษฎร์ มีนบุรีมา แล้วนางเจอรถติด ที่ติดมากๆ ตำรวจกั้นตามแยกกลับรถไม่ให้ไป (ให้รถที่ไปตรงไปก่อนอะนะ) นางก็รอ เกือบ 5 นาที คิดว่าตำรวจมาระบายจราจร นางยังไม่เอะใจ ซักพั๊ก มีรถขบวนอีป้อมผ่านมา แล้วมีวินที่รอข้างนาง ด่าไอ้ฆวยลั่นเลย นั่นแหละ น้องสาวเลยรู้สาเหตุ
7,2022-09-28 15:11:04+00:00,@disc_night @MatichonOnline จะเป็นเหยื่อหรืออะไรก็ไม่ควรโวยวาย ก็เดินเข้าไปคุยดีๆแล้ว จะมาถูกเนื้อต้องตัวเพื่อ ต่อให้ทำแบบนี้กับตู่ ป้อม ก็ไม่ควรทำ ป้าสมควรโดนด่าเพราะทำเกินสมควร ไม่ต้องมาถามว่าแล้วตกท่อไม่ชดเชยมันสมควรเหรอ ไอ้ตกท่อไม่ชดเชยก็กรณีนึงก็ไม่สมควร แต่ป้าก็ไม่ควรทำแบบนี้กับใครที่เดินเข้ามาคุยดีๆ
8,2022-09-25 07:11:40+00:00,ไอ้ป้อมมาเยือนหล่มสัก จะไปด่าก็กลัวโดนจับ จะไปดูเฉย ๆ ก็เปลืองน้ำมัน เปลืองเวลา เสียสายตาด้วย
9,2022-09-23 03:33:21+00:00,@EVILSAGAGemini ไอ้ที่ด่าป้อมไว้ยังไงล่ะ ป้อมเค้าแค่เดินไม่สะดวกบ้างลุก/นั่งช้าบ้าง แต่นี่อาการหนักกว่าป้อมเยอะ
10,2022-09-20 05:44:55+00:00,@sirotek จัญไร อัปรีย์ เสียชาติเกิด สงสารพ่อแม่ขอบมันที่อุตส่าห์อุ้มท้องพวกมันมาก สารเลวจริงๆ ไอ้หมานรก ผมด่าหมาข้างบ้านนะครับ ผมรักลุงตู่ ลุงป้อมสุดๆ
11,2022-09-18 06:30:01+00:00,"ครอบครัวเพื่อไทยลงสนามเมือง แอลเอ 101 อีสานหมู่เฮา
ม่วนแท้ แม่ ลูก สุนัขในคอก..ลูกนาย
นัฐวุฒิ  สัยเกื้อ
นายแม่  อุ๋งอิ้ง  ชินวัตร - ณ.ป้อมเพรช 
เพื่อเงินตัวเดียวเสกคนให้เป็นสุนัขรับใช้เจ้านายได้ง่ายมากๆ
ขายจิตวิญญาณคนแบบไอ้เต้นมันก็ทำ ถุ๋ย! ไอ้หมาขี้เรื้อน
ไม่อยากจะด่ามันไอ้เต้น. https://t.co/ouko7fjlrP"
12,2022-09-15 01:15:14+00:00,@US998899 ด่าไอ้ป้อมไม่สนุกอ่ะ​ เหงา
13,2022-09-14 16:31:39+00:00,@fierce1214 แล้วที่สำคัญ ไหนหลักฐานว่าแม้วไม่ผิดเลย ขาวใสสะอาดไม่มีมลทิลแมวเหมียว มีมั้ยล่ะมีก็เอามา แถไปแถมาเอาแต่ด่า หลักฐานไม่มี โยกไปโยกมา แต่บกพ่องโดยสุจริตคำวินิจฉัยโคตรเบียว ลืมเขียนเฉยๆ งั้นไม่ต้องไปงอแงกะไอ้ป้อมเรื่องนาฬิกา https://t.co/P6NUW8yTQL
14,2022-09-13 08:43:12+00:00,"ก้านบัวบอกลึกตื้น ชลธาร
นั่งด่าแต่รัฐบาล เหนื่อยแล้ว
ตู่ออกป้อมสืบสาน ไอ้ห่า อย่างเซ็ง 
สมัยหน้าไม่แคล้ว อยู่ต่อ สิบปี"
15,2022-09-12 18:42:47+00:00,ก็แซะกันไปเรื่อผู้กทม​ไม่รู้เพราะเราไม่ได้เกี่ยวข้องด่ากันเองแหละส่วนตัวไม่ได้มีส่วนได้เสียแต่ส่วนตัวจะด่าไอ้นายกหัวกรวย​ เพราะบริหารกาก​ ป้อมเป็นประธานการจัดการน้ำด้วยนะแย่ชิบหาย​ ยุคนางปูน้ำท่วมด่านายกไล่นางปูยุคนี้ด่าผู้ว่าตลกสัสมึงท่วมแค่กทมหรอง่าว
16,2022-09-12 05:30:50+00:00,@TuaMaple ไม่น่าจะได้ผลกับชัชชาติครับ มันคงทำเหนื่อยเปล่าแถมจะถูกไอ้ป้อมด่าด้วย เพราะทุกคนจะย้อนกลับไปด่าไอ้ป้อมหมด ตอนนี้ถ้าไอ้ป้อมสั่งให้ทหารทุกนายทั้งประเทศมาช่วยกันวิดน้ำได้รับรองว่ามันทำไปแล้วครับ
17,2022-09-08 12:32:42+00:00,@ingdinZ ก็ไอ้ป้อมกุมงบบริหารจัดการน้ำแดกหมดไปหลายแสนล้านตั้งแต่เข้ามา แล้วแก้อะไรได้วะ ล่าสุดยังจะเอางบจัดการน้ำปี66เพิ่มอีก กะจะแดกงบอย่างเดียวแล้วลอยตัวเหนือปัญหาหรอสวะสลิ่ม แต่ก่อนสมัยอีปูน้ำท่วมด่าแต่นายกไม่ด่าผู้ว่า มาตอนนี้ด่าแต่ #ชัชชาติ รัฐบาลลอยตัวแดกสบาย #น้ําท่วม https://t.co/4sQtYU4STt
18,2022-09-06 07:21:10+00:00,"นางแบกว่าไงกับข่าวนี้บ้างวะ?

ก้าวไกลถ้าเกี๋ยเซี๊ยะชอเป็นรัฐบาลด้วยการอ้อนไอ้ป้อมอย่างนี้กูด่าทั้งพรรคนะบอกเลย

มา...รอดูนางแบกกัน https://t.co/aDFQ9X54ka"
19,2022-09-06 00:54:04+00:00,@Kenshir34410838 @svndw81 @damrangjik @meVnus อดีตยื่นร้องปลดนายก ปัจจุบันยื่นร้องยุบพรรคของแบกไปแล้วกี่คดี แม้กระทั่งอดีตเคยร่วมทีม ศอฉ อย่างไอ้ป้อม ยังไม่สู้โพสด่าคนเสื้อแดงในสายตา #แบกจนบ้ง เพราะขนาดไอ้ป้อมเองแบกตัวแม่ยังพูดออกTVชัดถ้อยชัดคำว่า ไอเดียพรรคพี่ใหญ่จับมือพรรคไอ้ป้อม คนซื้อเยอะมาก 555
20,2022-09-03 22:31:19+00:00,วันนี้เจอสังคมอ๋าโอ๋วีหลายรูปแบบมาก ทั้งแวนเลนกลาง รุมคิลแบบให้พวกกุไม่เกิดแล้วกดยอมแพ้ ทีมไฟเต้อสองไม่มีแครี่ปล่อยให้ซัพยืนกันป้อมบนคนเดียว ช่วยบัตตีมังกรแต่กุโดนด่าว่าลาส นาตาย่าเพื่อนในทีมไปช่วยไฟท์ก้ด่าว่าลาส แต่ไม่มีไอ้หน้าไหนมาช่วยแครี่แบบกุเลย 😄
21,2022-08-31 05:00:43+00:00,@Jirat_MP สมัยหน้าจะมีใครด่าไอ้ตู่ไอ้ป้อมถ้าส.ส.คุณภาพลาออกสภาก็ไม่มีสีสันละดิ
22,2022-08-24 14:47:04+00:00,ไอ้เหี้ยป้อม ขอด่าล่วงหน้าก่อนเลยเพราะเหี้ยเหมือนกันแน่นอน #ประวิตร
23,2022-08-24 10:35:19+00:00,ไอ้ป้อมมันรองมันก็ต้องขึ้นรักษาการอยู่แล้วน้อทเซอร์ไพร้ แต่ก็สมน้ำหน้าที่คนด่ามัน555555
24,2022-08-24 07:52:21+00:00,"เหมือนอีศาลโยนหินถามทาง ถ้า #ประวิตร ขึ้นแล้วคนด่า ก็จะกลับคำให้ #ประยุทธ์ อยู่ต่อ คือประชาชนอย่างพวกมึงไม่มีสิทธิเลือก มีแต่ #รัฐบาลส้นตีน ซ้ายกับขวาแค่นั้น
อยากให้โคตรเหง้าพวกศาลห่ารากนี้ได้รับผลกรรมบ้างเหมือนกันนะ
แต่คนเหี้ยอย่างไอ้ตู่กับไอ้ป้อมยังได้ดี เวรกรรมแม่งก็ไม่มีจริง"
25,2022-08-23 13:29:03+00:00,"#ประยุทธ์ออกไป ไอ้ป้อมมาแทน อีกแปดปี ไอ้ป๊อก อีกแปดปี จากนั้นใครดี เออ ไอ้อภิรักษ์ คงสมพวยก็ได้ อีกแปดปี ไอ้ค๊อกแปดปี

พวกมึงคิดว่าเรียกมันมาแล้วจะไล่มันออกไปง่ายๆเหรอ พวก #สลิ่ม 
 ควายเอ้ย
คนเขาก็เตือน ว่า ระวังจะตายฟรี ก็ไปด่าเขา
แต่กูไม่ห้ามนะ เชิญพวกมึงเต็มที่"
26,2022-08-23 12:03:18+00:00,กูด่าไอ้ป้อมมากไปปะ อาจารย์ถามเหี้ยไรกูก็ไม่รู้
27,2022-08-12 12:20:45+00:00,@Lilithlawpie พฤติกรรมพวกกูไม่ใช่ยังไงวะ โหวตก็กดเอาหาร100ไม่ปัดเศษ=เอาหาร500หรอวะตรรกะปัญญาอ่อนแบบนี้เชิญไปเรียนมาใหม่นะ มึงอยู่กับความมโนเพ้อหลอนเยอะไปนะแดกยาและไปนอนไหมมึง ใครด่าพวกมึงว่าจะไปดิลกับป้อมวะและติ่งหมาตัวไหนที่มันด่าส้มว่าไปเป็นนั่งร้านให้ตู่นะมึงรวมเรื่องได้มั่วมากไอ้เหี้ย
28,2022-08-12 01:16:46+00:00,"@Xyxell ตามจริง ถ้า #แบกจนบ้ง จับมือพรรคที่ไอ้ป้อมเป็นหัวหน้าได้เนี่ย หมดความชอบธรรมที่จะด่าพรรคอื่นรับสลิ่มเก่าแล้วโดยสิ้นเชิง ""“รัฐประหาร 19 กันยายน..“บูรพาพยัคฆ์” เป็นกลุ่มสําคัญที่กุมกําลังในการเข้าทําการยึดอํานาจรัฐบาล พ.ต.ท.ทักษิณ.."" https://t.co/qQkQzpyM8v"
29,2022-08-11 13:56:10+00:00,"ไอ้พวกออกข่าว แฉ บิ๊กป้อมจีบมือไอ้เหลี่ยม หาเรื่องด่า รัฐบาล กลายเป็นหมา 
https://t.co/LkUB4br133 https://t.co/fRUk93UXcj"
