,Date,Tweet
0,2022-10-05 01:28:16+00:00,"ไปเจอนี่มา เจ้าของโพส โทษทุกอย่างยกเว้นตัวเอง

คือแค่ชื่อตัวเองยังเขียนผิด โคตรสะเพร่าอ่ะ

#นกแอร์ #Nokair https://t.co/y7GyRzGZdW"
1,2022-10-04 10:25:49+00:00,@khitichai ถ้าไปนกแอร์ ไม่ตกแน่นอน เครื่องเยอะ
2,2022-10-04 06:37:16+00:00,"ท่าอากาศยานบุรีรัมย์ ขอแจ้งตารางการบิน
วันที่ 1 - 29 ตุลาคม 2565

สอบถามข้อมูลรายละเอียดเที่ยวบินและราคาได้ที่
*สายการบินนกแอร์ 044 - 666721 
เปิดเวลา 07.30 - 15.30 น.
*สายการบินไทยแอร์เอเชีย 044 - 634968
เปิดเวลา 09.00 - 15.30 น. https://t.co/0jKzsUgzzo"
3,2022-10-04 03:50:11+00:00,ฝากพระราชสาร์นถึงในหลวงทำไทฉัน ในหลวงอย่าทิ้งประชานาฏราชชน เหตุผลของพ่อ ร.1 เฉพาะ สยามเทวาชัยนาทเทวาธิราชสวนนกแอร์ มะนาจารย์พระรัตรัสตรัยนราธิวาสคำขวัญประจำจังว่ะต้นว่า รำคาญจะเคลีย ฐานทรงสาทฤดูแก้วมรกตกูเอง กูไอดีแปลว่าใบอนุญาติประเทสอินโด โอ้ยเซงงงงhttps://t.co/eSDLEdNV7d
4,2022-10-01 14:50:46+00:00,ชั้นจะเลิกบินกับ #นกแอร์ ตลอดไปปปป !!! 🔥😠
5,2022-10-01 12:09:05+00:00,นกแอร์ จากอุบลราชธานี ไป ดอนเมืองครับ#อดิศรเพียงเกษ 1 ตุลาคม 2565 https://t.co/BhsGShLuQ9
6,2022-10-01 04:05:00+00:00,คิดถูกมั้ยนะที่จองนกแอร์-.-
7,2022-10-01 03:00:00+00:00,"Airline carrier Nok Air cancels its Nakhon Ratchasima-Chiang Mai route due to the low passenger demand after two months of service.

See more: https://t.co/eDxXIw1X1x

#Thailand #Airline #NokAir #NakhonRatchasima #ChiangMai #Transportation #ประเทศไทย #สายการบิน #นกแอร์ https://t.co/SgAQWngFgO"
8,2022-09-30 01:37:17+00:00,จองตั๋วนกแอร์ ขั้นตอนการจ่ายวุ่นวายชิบหาย
9,2022-09-29 22:44:40+00:00,แทบจะเป็นหุ้นส่วนนกแอร์ ทุกครั้งที่บินหาดใหญ่- กรุงเทพ กรุงเทพ-หาดใหญ่ คือไปนกแอร์ตลอด งง
10,2022-09-29 14:36:58+00:00,"“แอร์เอเชีย” บินเพิ่มชุมพรเช้า ส่วน “นกแอร์” สาย -บ่าย สลับวัน 
 https://t.co/mjdIBUTfA6 https://t.co/pntOscyLaO"
11,2022-09-29 04:07:55+00:00,สายการบินนกแอร์ https://t.co/vgiFc64u8V
12,2022-09-28 17:24:33+00:00,ทำไมมันแพงจังงง 😭😭 ไม่กล้านั่งนกแอร์ เคยนั่งแล้วใบพัดเสียงดัง เครื่องสั่น  หรือนั่งรถไฟไปดีหว่า https://t.co/ZYlwzTqrJJ
