,Date,Tweet
0,2022-10-05 06:36:51+00:00,@jmaonne งานชุดผ้าไหมไทยต้องเข้าแล้ววว
1,2022-10-05 01:56:04+00:00,ชุดไทยแน่! หนูจะไปรำหน้านาคเหรอ #พิเศษนิ่งเฮียQ4จี้ใจ https://t.co/qr3fC0tpse
2,2022-10-04 13:51:55+00:00,"อยากเล่าอะดูน่าสนุกดี (ดูเป็นการนั่งคิดว่าเราชอบเค้าได้ยังไงนะ555 ) อันดับแรกจะเล่าว่าติดตามซีนุนิวได้ยังไงก่อนดีกว่า เราเห็นดูมันดิมานานแล้วตั้งแต่ใส่ชุดไทยไปญี่ปุ่น 
แต่ก็ไม่ได้ตามช่องทางอื่นนะเพราะปกติถ้าเราตามใครในฐานะยูทูปเบอร์เราก็จะไม่ตามชีวิตจริง(1)  #โดนซีนุนิวตกได้ยังไง"
3,2022-10-04 05:23:11+00:00,นุนิวกับพี่ซีจะไปเกาหลีช่วงนี้ ได้ไปอยู่ในช่วงอากาศเย็นด้วน ดีจังงง รอดูชุดหนาวๆเลย ประเทศไทยที่ไม่มีซนนต้องเหงามากแน่เลย กลับมาเป็นหมาหงอย🥹
4,2022-10-01 18:33:50+00:00,คลิปโป๊ ครางเสียวหีลั่นหอพัก นักศึกษาไทยโดนเย็ดคาชุดเสียวมาก ขึ้นขย่มเย็ดแตกในรูหีขาวสวย เอากันทั้งวันก่อนรับปีใหม่ แฮปปี้นิวเยียร์แตกในไปเลย https://t.co/WkIxL0xllF
5,2022-10-01 14:32:13+00:00,อห.ลุ้นนนน ไทยชุดนี้ชนะโดมินิกันแล้ววว ตำนานใหม่อีกแล้ว
6,2022-09-30 01:44:21+00:00,@ACORNonTop @meVnus @Najwitzchild แต่งชุดไทยนี่ดิฉันเห็นใจคุณนิวมากนะ ถ้าไม่มีอีหน้าไหนก็ไม่รูัไปร้องตะโกนพระราชินีเพคะ ทรงพระเจริญกับหมอบกราบ วันนั้นก็จะไม่มีอะไรเกิดขึ้น รู้ทั้งรู้ว่าก่อนหน้านั้นอีกฝ่ายจับคนเข้าคุกด้วยข้อหานี้เป็นว่าเล่น แต่ยังมาทำอะไรสุ่มเสี่ยงให้คุณนิวเค้าเดือดร้อนอีก
7,2022-09-30 01:13:47+00:00,โดมินิกันชนะโปแลนด์หรอ อหหหลูกกลมๆอะไรก็เกิดขึ้นได้จริงๆสาวไทยต้อวสู้ๆละ ขอชุดดำไม่ก็แดง ห้ามใส่ขาววว
8,2022-09-29 13:44:02+00:00,"วอลเลย์สาวๆขายาว​ ไทย​ ชนะ​ เกาหลีใต้​ 3-0เซท​ ชิวๆ​เลยเกมนี้เกาหลีชุดนี้ไม่มีอะไรเลย​ ไม่แกร่งเหมือนชุดกัปตันคิม

รอดูวันที่1ตค​ 18.45  เจอโดมินิกัน​ ได้นอนดูชิวๆในเต็นท์อะครัช​  ฟิวกูดส์​..."
9,2022-09-27 03:48:30+00:00,"1. โทษหนัก: คุณอัญชันเจอ 87 ปี
https://t.co/L2SqWYIXXO
2. ขอบเขตมั่วซั่ว: นิวชุดไทย, สมบัติ ทองย้อย
https://t.co/zFSgp8OyBG
https://t.co/A63kNtRwIl
3. สร้างความหวาดกลัว: รอยัลลิสต์ไล่ฟ้องปิดปากข่มขู่
https://t.co/GclO9PkhBD

ถ้ายังมี 112 อยู่เราไม่มีประชาธิปไตย #ยกเลิก112 https://t.co/wboKNYQnDk"
10,2022-09-26 09:16:50+00:00,@miamaimars แล้วที่คุณกล่าวหาว่าเราบิดเบือน เคสของคุณนิวที่ใส่ชุดไทยเข้าข่ายม.112 ยังไงคะ ?
11,2022-09-26 06:15:32+00:00,"@ChuchatSurakhai ใส่กันค่อนบ้านค่อนเมือง
ทำไม พวกนี้ไม่โดนล่ะ 

จึงเป็นข้อสงสัยมากกว่านะว่า
พวกที่ปั่นว่านิวโดนคดีเพราะชุดไทย
บิดเบือนความผิดจากคดีอะไรกันแน่

บางคนโพสท์ในแอคเค้าท์ตน
พวกนี้ มีความผิดฐานอะไรมั้ย 😏 https://t.co/YDyCXqMiWv"
12,2022-09-26 05:41:10+00:00,ถ้าเกิดสมมุติ​ว่า​ นนได้เล่นพีเรียดขึ้นมาจริงๆแล้วแต่งชุดตรีมนั้นคือกุกรี๊ดอัดโอ่งแน่​ นุนิวกับชุดออกไทยๆคือคุณหนูแบบตะโกน
13,2022-09-26 05:07:37+00:00,น่ารักมากกกกก เรื่องนี้จะเห็น #เน็ตเจมส์ แบบหลายลุคเลยอ่ะ เน็ตชุดสูทกะพี่วินคือเกินไปมาก น้องเจมส์ชุดนักศึกษากะชุดไทยคือแงงง นุบนิบ อยากดูแล้ววววง https://t.co/59dHpLITXl
14,2022-09-26 00:05:27+00:00,"เมื่อวานที่นิวยอร์กมีการฉลองการเปิดชื่อถนนLittle Thailand Way ที่ย่านไทยทาวน์Woodside มีการแสดงศิลปวัฒนธรรมไทยโดยเด็กเยาวชนไทยที่เกิดและเติบโตที่อเมริกา และส่วนใหญ่ร่วมกันแต่งชุดไทยมาร่วมงาน

https://t.co/x7dovYyqr0 https://t.co/cFA3zHXN3z"
15,2022-09-25 14:43:47+00:00,"@miamaimars จขทว.บอกว่า อย่าพูดว่าแค่ใส่ชุดไทยแล้วโดน112 ไม่ได้ด่านิวเพราะแต่งตัวเลียนแบบ
รู้ว่าอยากช่วยให้รอด แต่ไม่เวิร์ค และเสียเครดิต และโดนเพจเจ๊จุกหยิบไปโจมตี ควรสู้ในหลักการว่า ในระบอบปชต. ควร satire ผู้มีอำนาจได้ ในระดับที่เหมาะสม และชี้แจงเหตุผลที่ satire
https://t.co/eNuy9FLaN2"
16,2022-09-25 14:42:54+00:00,อยากรู้ว่าตอนไปนิวยอร์คคือช่างไทยรึเปล่าอะ เพราะรู้สึกเมคอัพ ชุด ไม่ค่อยส่งเเอนนาเสือสักเท่าไรเลย พอกลับไทย ทุกอย่างมันดูสวยมันดูเริ่ด มันปัง ชุดวันนี้คือที่สุด #MissUniverseThailand2022
17,2022-09-25 11:42:00+00:00,@stopcredulity2 คุณ DK คะ สังคมเค้าตัดสินเองได้ค่ะว่าคุณนิวเค้าโดนคดีเพราะอะไร แล้วเรื่องนี้นะต่อให้เค้าจะใส่ชุดไทย แล้วเสียดสี มันก็ไม่ควรเข้าองค์ประกอบม.112 อยู่ดีค่ะ
18,2022-09-25 11:35:52+00:00,@stopcredulity2 อ่ะ เอาใหม่คุณนิวใส่ชุดไทยแล้วเสียดสีทำให้ฝ่ายขวาไม่พอใจ เลยโดน 112 ที่คุณจะบอกคือแบบนี้ถูกมั้ยคะ ?
19,2022-09-25 11:27:13+00:00,"@stopcredulity2 ตกลงคุณนิวใส่ชุดไทยแล้วทำให้ฝ่ายขวาไม่พอใจ ? 
เลยโดน 112 คุณกำลังจะสื่อแบบนี้รึเปล่าคะ ?"
20,2022-09-25 11:21:28+00:00,"@elite_snob ขยายความครับ
นิว เป็นนักกิจกรรมที่ลือกันว่าโดน 112 เพราะแต่งชุดไทย รอยสักของเขาคือ ""ฉันเกิดในรัชกาลที่ ๙"" 
คำถามเป็นการเปรียบเทียบแบบตรงไปตรงมา ถ้า นิว ทำพฤติกรรมแบบนี้ เช่น ข่มเหงคนอื่นแบบที่สายน้ำทำ หรือดูถูกคนแบบที่ลูกนัททำ เอารอยสักที่ว่าประกอบก็สามารถบอกว่าเพราะเป็นสลิ่มได้?"
21,2022-09-25 10:20:57+00:00,"@WHIThailand เขาบอกว่าอย่าบิดว่าแค่ใส่ชุดไทย แต่ไม่ได้ด่านิวเพราะแต่งตัวเลียนแบบ
อันนี้เสริม รู้ว่าบิดเพราะอยากช่วยให้รอด แต่ไม่น่าจะเวิร์ค ไม่มีใครเชื่อ และยังเสียเครดิตด้วย ควรสู้ในประเด็นที่ว่า ในระบอบปชต. ควร satire ผู้มีอำนาจได้ แต่ก็ล้อหนักเกินไปอีก ควรระวังตั้งแต่แรก ถ้าไม่อยากโดนคดี"
22,2022-09-25 08:11:42+00:00,ยังติ่งซีนุนิวค่ะ เพราะนอกจากพวกเค้าก็ไม่มีใครตอบโจทย์ แต่ชั้ลจะกลับไปเป็นสาววายนักอ่าน ซีรี่ย์วายไทยไม่สามารถชุดรั้งชั้ลได้ //ก็บกว่าหยัมมาจบแงะ!!!
23,2022-09-25 08:00:45+00:00,"คุณนิวที่สวมชุดไทยไปทำกิจกรรม ต้องชื่นชมว่าเธอกล้าหาญมากๆ (ทั้งๆที่ใส่ชุดล้อเลียนมันก็ปกติในตปท.มาก) ที่กล้าออกมาเรียกร้องยกเลิก 112 
อยากให้สังคมคิดว่าสิ่งที่เธอทำมันผิดหรืออะไรที่มันบิดเบี้ยวไปกันแน่"
24,2022-09-25 03:13:43+00:00,และที่คนอื่นเขาแย้งว่าไม่ใช่แค่เพราะใส่ชุดไทยแล้วโดน112 ก็เพราะเขาเห็นว่าเป็นการบิดเบือน ทำให้คนอื่นไม่เชื่อ ควรพุ่งประเด็นไปที่การเรียกร้องให้สามารถ satire ได้ แต่ไม่ใช่ว่าเขาเห็นด้วยที่นิวโดน112
25,2022-09-25 03:07:40+00:00,@dog_overload และที่คนอื่นเขาแย้งว่าไม่ใช่แค่เพราะใส่ชุดไทยแล้วโดน112 ก็เพราะเขาเห็นว่าเป็นการบิดเบือน ทำให้คนอื่นไม่เชื่อ ควรพุ่งประเด็นไปที่การเรียกร้องให้สามารถ satire ได้ แต่ไม่ใช่ว่าเขาเห็นด้วยที่นิวโดน112
26,2022-09-24 17:54:36+00:00,คนพูดสิทธิการแต่งกายก็ตรงกับเจตนารมที่ต้องการใส่ชุดไทยไปงานของคุณนิว คนพูดสิทธิล้อเลียนเสียดสีก็ช่วยยืนยันว่าสถานการณ์ที่เกิดขึ้นในแฟชั่นโชว์เป็นสิทธิ สิ่งเกิดขึ้นกับคุณนิวเป็นสิทธิ ที่ไม่ว่าคนจะอยากแห่แหน คนจะอยากparody หรือคนที่อยากจะร่วมแฟชั่นโชว์แบบคุณนิวก็ไม่ควรได้รับ ม112
27,2022-09-24 17:46:27+00:00,"กูไม่เคย war กับนางแบกเพื่อไทยเลย แต่นี้ มึงเป็นเหี้ยอะไรอ่ะ นิวมันโดนยัดเข้าคุกเพราะแค่ใส่ชุดไทยไง มันให้คนมาตะโกนทรงพระเจริญมั้ย ใส่ชุดไทยคือเลียนแบบราชินีแล้ว  

แล้วคำพิพาทษาที่มันไม่เคยรับฟังความจากจำเลยเลย มึงก็โอเคกับคำตัดสินแบบนี้เหรอว่ะ https://t.co/g4OBjuvk89"
28,2022-09-24 16:52:55+00:00,ช่วงนี้มีงาน Oktoberfest ที่มิวนิค คือ ชุด Dirndl และ Lederhose ของผช รวมทั้งชุด ขายดิบขายดีมาก คนใส่กันทั้งเมือง ในช่วง 2 สัปดาห์ คือ เอาจริงชุดมันแพงมากๆ เลยน่ะ ของผญ คือ 100€+ ของผชทั้งชุด 400-500€+ คนต่างชาติที่มาเที่ยวก็ซื้อใส่กัน อยากให้เรามีงานใส่ชุดไทยแบบนี้บ้างอ่ะ สนุก
29,2022-09-24 14:10:59+00:00,"ทีมไทยนิวเจนชุดนี้สร้างประวัติศาสตร์ไว้มากมายในช่วงเวลาครึ่งปี
ชนะเซอร์เบีย
ชนะจีน
ชนะเกาหลีใต้
เข้ารอบ 8ทีมสุดท้ายใน VNL

และล่าสุดชนะตุรเคีย !!
พวกเทอมันแน่ มันแน่มาตลอด!!!
#วอลเลย์บอลหญิง https://t.co/yeKxUHT33Z"
30,2022-09-23 11:43:36+00:00,กลุ่มประชาชนละคร กว่า 200 คน เห็นแย้งกับคำให้การของตรีดาว อภัยวงศ์ สุขุม ในคดี ม. 112 นิว-จตุพร สวมชุดไทยเดินแฟชั่นโชว์ ลงนามออกแถลงการณ์ https://t.co/Wwxv5pogCJ via @thai_enews #ยกเลิก112 #ปฏิรูปสถาบันกษัตริย์
31,2022-09-23 07:25:55+00:00,จำคุก 2 ปี นิว จตุพร แต่งชุดไทยแคตวอล์กราษฎร ชี้มีเจตนาล้อเลียน #ปลดแอกล้มสถาบัน  #สนับสนุนม112 https://t.co/LvSJpBB4hy
32,2022-09-22 11:48:19+00:00,พี่นิวใส่ชุดไทยเกล้าผม ล้มตึงแล้วป่ะ สวยมากกกกกกกกกกกก
