,Date,Tweet
0,2022-10-05 18:57:25+00:00,โปลเก่งมาก😭😭😭😭😭 ภูมิใจ #วอลเลย์บอลหญิง
1,2022-10-05 18:57:22+00:00,มุมข้างโรซานค่ตหล่อ #วอลเลย์บอลหญิง https://t.co/Y34frUHqfY
2,2022-10-05 18:57:13+00:00,บ่าวอุสาสาวอุสาตายลูกเสิร์ฟ สแตนรู้อุสารู้ตาลุงทั้งสองรู้แต่กะรู้ซือๆ #วอลเลย์บอลหญิง
3,2022-10-05 18:57:12+00:00,บ้านเบลติดเครื่องแล้ว #วอลเลย์บอลหญิง
4,2022-10-05 18:57:09+00:00,เริ่ดมากโปลสก้า😭😭 #วอลเลย์บอลหญิง
5,2022-10-05 18:57:08+00:00,เมกาการกุศลไป 10 เเต้ม เออเอาเข้าไป #วอลเลย์บอลหญิง
6,2022-10-05 18:57:06+00:00,นำก่อน = ขิต #วอลเลย์บอลหญิง
7,2022-10-05 18:57:04+00:00,เมกามันไม่เครียดกันเลยเว้ย มันมาเต้นออกทีวีเฉยๆอ่ะ555555 #วอลเลย์บอลหญิง
8,2022-10-05 18:57:03+00:00,มีใครคิดถึงทอมสันเหมือนชั้นบ้าง #วอลเลย์บอลหญิง
9,2022-10-05 18:57:00+00:00,อุสาการกุศลเริ่มแล้วค่ะ เซตแรก 10 แต้ม 🥲 #วอลเลย์บอลหญิง
10,2022-10-05 18:57:00+00:00,วันนี้ถ้าโปชนะเมกาอันดับพุ่งมากชนะอันดับ1 อ่ะ คะแนนต่างมันเยอะมาก #วอลเลย์บอลหญิง
11,2022-10-05 18:56:58+00:00,อุสาทำไรอ่ะนำมาดีๆ เสียเองเยอะมากอุตส่าห์ว่าจะนอนไว #วอลเลย์บอลหญิง
12,2022-10-05 18:56:57+00:00,กดดันมาจาก เสียงโห่แน่เลย ลูกอีโห่  #วอลเลย์บอลหญิง
13,2022-10-05 18:56:55+00:00,สตีเก่งเกินปุยมุ้ยยย หลงงงงงง #วอลเลย์บอลหญิง
14,2022-10-05 18:56:54+00:00,เอาใหม่เมกา ทุบคืน3เซตรวด #วอลเลย์บอลหญิง
15,2022-10-05 18:56:53+00:00,สาวโปลสก้าต้นเซตตาม5แต้ม ปาดเซตนี้มาได้ เว่อร์มาก #วอลเลย์บอลหญิง
16,2022-10-05 18:56:52+00:00,มันก็ต้องถึงมือแม่ดรูวเสมอนะ โถ่ #วอลเลย์บอลหญิง
17,2022-10-05 18:56:51+00:00,เมกาาาาา  #วอลเลย์บอลหญิง
18,2022-10-05 18:56:50+00:00,สแตนอุสายาดมเข้าทุกวัน นึกว่าวันนี้จะไม่แกงสรุปแกงหนักมาก #วอลเลย์บอลหญิง
19,2022-10-05 18:56:50+00:00,นำมา 5 แต้ม แล้วก็โดนปาด  #วอลเลย์บอลหญิง
20,2022-10-05 18:56:48+00:00,ดูจากเกมส์วันนี้และคะแนนบอกเลยว่าโปแลนด์ แคนนาดา ประมาทไม่ได้เลยพัฒนาเร็วมาก แก้เกมส์เก่ง ศึกษาคู่แข่งดี #วอลเลย์บอลหญิง
21,2022-10-05 18:56:48+00:00,สะดุ้งแลงมาก #วอลเลย์บอลหญิง
22,2022-10-05 18:56:48+00:00,ป้าดดดดแรงมากกกกรี๊ดดดด #วอลเลย์บอลหญิง
23,2022-10-05 18:56:47+00:00,โป เก่งมากกก #วอลเลย์บอลหญิง
24,2022-10-05 18:56:45+00:00,ถ้าอุสาเจอไทย​ อุสาจะฟร์อมดีทันที​ 200% ทั้งเสิร์ฟแม่น​ เซตดี​ ตบแรง​ รับเหนียว​ องค์ลงทุกคน​ #วอลเลย์บอลหญิง
25,2022-10-05 18:56:44+00:00,"#ปรบมือสิครับรออาไร //โค้ชแคนาดา โค้ชหญิงหนึ่งเดียวในชิงแชมป์โลก 🇨🇦 วางแผนเอาคืนทีมที่แพ้ใน VNL ได้อย่างเฉียบคม
ชนะเยอรมัน 🇩🇪 ✅
ชนะบัลแกเรีย 🇧🇬 ✅
ชนะไทย 🇹🇭 ✅
โค้ชทำการบ้านมาหนักมากกกกก คาราวะเลย 🙇‍♂️ ซูฮก!!!!!
#วอลเลย์บอลหญิง #ชิงแชมป์โลก2022 https://t.co/cLpCfCXwKY"
26,2022-10-05 18:56:42+00:00,โอ้โห้ๆๆ คู่ดึกคือน่าลุ้นตลอดด สาวโปลสก้าเก็บเซ็ตแรกไปได้แล้ว คิรายทำไงๆๆ #วอลเลย์บอลหญิง
27,2022-10-05 18:56:42+00:00,กรี๊ดดดดดดด 555555 แต่ยังไงนี่ก็ว่า 3-1 อุสาต้องคัมแบคนะคะ #วอลเลย์บอลหญิง
28,2022-10-05 18:56:41+00:00,โรโบ้ปิดเซทอีกละเหมือนเจอเซิร์บตอน vnl เลย #วอลเลย์บอลหญิง
29,2022-10-05 18:56:38+00:00,สภาพสแตนลุ้นไม่ไหว #วอลเลย์บอลหญิง https://t.co/cdTTBLfwNE
30,2022-10-05 18:56:36+00:00,เสียงโห่ กองเชียร์นี ไม่มีมารยาทเลย  #วอลเลย์บอลหญิง
