,Date,Tweet
0,2022-10-04 03:02:15+00:00,"ขอบคุณ “ลุง”
.
“บิ๊กป้อม” เปิด ป่ารอยต่อฯ
ต้อนรับ “มูนา -อันนา”
2 พี่น้อง นักแบดมินตันทีมชาติ แชมป์ Yonex ขอบคุณ “ลุงป้อม” ที่สนับสนุนต่อเนื่อง
ร่วมถ่ายภาพ  ทั้ง ชูกำปั้น และ มินิฮาร์ท 
ยกเป็น เยาวชนตัวอย่าง
อวยพรให้ชนะ อีก
จะคอยติดตามและให้กำลังใจ

https://t.co/FczhqNYM88 https://t.co/LSRQxyb547"
1,2022-10-02 06:47:50+00:00,"ลุงป้อมอวยพรนักตบสาวไทย
#ลุงป้อมใจดี
#พลเอกประวิตร
#บิ๊กป้อม https://t.co/JtbubdoeX4"
2,2022-10-01 02:40:48+00:00,@sokenlive5 @pran2844 ถ้าลุงเป็นคนดีคนเก่งเดินไปที่ไหนคนก็อวย แบบไม่มีคนติดตามหรือเกนท์คนมานะ แต่นี่ไม่ใช่ ผมเก่งมีอีกมาก กระทั่งลุงป้อมยังบริหารดีกว่าเลย คุณอยู่แค่กลุ่มเล็กๆ จะรู้ไร ผมอยู่ในกลุ่มทหาร นักการเมืองท้องถิ่น นักธุระกิจกลางๆ เล็ก แล้วกลุ่มใหญ่ เปิดใจรับบ้างไม่ใช่เกียจอีกฝ่ายจนใจบอดครับ
3,2022-09-29 11:39:42+00:00,"แรงใจจากลุงป้อม ❤️  อวยพรนักตบลูกยางสาวไทยสู้เกาหลีใต้คืนนี้ พร้อมตอบคำถาม “มีอัดฉีดไหมคะ?” 

#วอลเลย์บอลหญิง #ไทยรัฐออนไลน์ https://t.co/N3LtjAWUt2"
4,2022-09-29 09:26:30+00:00,จำนะคะ ทุกครั้งที่พูดถึงพรรคการเมืองต้อง “อวย” เท่านั้น อารมณ์เหมือนแท็กที่สลิ่มบอกรักลุงตู่ รึป้ายกอดอีป้อม เคๆ
5,2022-09-28 02:27:44+00:00,"""ไพศาล"" อวย ""ลุงป้อม"" ยกนิ้วผลงาน 45 วันรักษาการนายกฯ

อ่านต่อที่&gt;&gt;https://t.co/kc8AYjohaS

#ข่าววันนี้ #ไพศาล #ลุงป้อม #ผลงาน #รักษาการนายกฯ https://t.co/qvte01hlTA"
6,2022-09-28 02:19:20+00:00,"""ไพศาล"" อวย ""ลุงป้อม"" ยกนิ้วผลงาน 45 วันรักษาการนายกฯ

อ่านต่อที่&gt;&gt;https://t.co/1yFFLcukX6

#ข่าววันนี้ #ไพศาล #ลุงป้อม #ผลงาน #รักษาการนายกฯ https://t.co/7cvwjvZrWS"
7,2022-09-27 06:40:17+00:00,@SleeplessBKK พอว่างๆ ก็คอยปั่นโซเชียลคอนเทนต์ IO เชียร์รัสเซีย ด่าชัชชาติ อวยลุงป้อม ไปด้วย คุ้มค่าเงินภาษีจริงๆ
8,2022-09-21 10:56:03+00:00,@johnwinyu สลิ่มก็จะไม่อ่านเหมือนเดิม  อวยลุงตู่ลุงป้อมดีอย่างนั้นอย่างนี้ ที่อ่านๆ เรื่องพวกนี้กริบนะไม่พูด
9,2022-09-21 10:48:00+00:00,อิป้อมพูดเรื่องค่าเงินบาทแบบโง่ อย่างโง่ โคตรโง่ อวยกันจัง ลุงป้อมสู้ๆ เหี้ยจ้า โง่ในโง่ในโง่อีกที โง่ซ้ำโง่ซ้อน โง่อินเซ็ปชั่น
10,2022-09-21 04:34:43+00:00,วันนี้พรี่ๆอวยความรู้เศรษฐศาสตร์มหภาคของลุงป้อมแล้วหรือยังคะ
11,2022-09-19 13:17:13+00:00,"""ลุงป้อม"" อ้อน ชาวสุไหงโก-ลก บอกรักทุกคน ปชช.อวยขอให้ได้เป็นนายกฯ ก่อนร่ายยาวผลงานรบ.
https://t.co/k02LBJ5H2r
#สยามรัฐ #สยามรัฐออนไลน์ #siamrath #siamrathonline #ข่าววันนี้ #ลุงป้อม"
12,2022-09-19 12:51:00+00:00,"#กระแสโซเชียล #สุไหงโกลก #พลเอกประวิตร
ลุงป้อม ปลื้มชาวสุไหงโก-ลก อวยเป็นนายกฯคนต่อไป
.
ลงพื้นที่ตรวจการก่อสร้​างสะพานไทย​-มาเลย์​ แห่งที่​2​ยันรัฐบาล​เร่งพัฒนา​พื้นที่ก้าวหน้าชัดเจน​ ทั้งเศรษฐกิจ​ สังคม​ ท่องเที่ยว​ การเพิ่มรายได้​ สร้างอาชีพ...
https://t.co/SyPhb9RPME #NEWMEDIA https://t.co/K3ZNa3zooe"
13,2022-09-19 11:07:41+00:00,"""ลุงป้อม"" ปลื้มชาวสุไหงโก-ลก บอกรักลุงป้อม อวยเป็นนายกฯคนต่อไป

https://t.co/9t3DD1OKxA

#TOPNEWS #TOPTV"
14,2022-09-19 10:12:57+00:00,"3-4 เรารักลุงป้อม
.

“บิ๊กป้อม”แฮปปี้
ห้อมล้อม ด้วย ชาวสุไหงโก-ลก สาวใหญ่ รุมกอด 
มอบ ดอกกุหลาบ
พร้อมบอก รักลุงป้อม
อวยให้ ได้เป็นนายกฯ
อ้อน !!บอกรักทุกคน 
หลังชาวบ้าน.แห่รับนับพัน 
อวยให้เป็นนายกฯ 

https://t.co/przUAq0o3Y https://t.co/yDk87srcoW"
15,2022-09-16 04:55:53+00:00,@political_drama ลุงป้อมกล่าวถูกแล้วครับ (ไม่ได้อวยแต่เป็นเรื่องจริง) ผู้ว่า กทม.รู้เรื่องหรือยังเลิกไลฟ์สดได้แล้ว ทำงานจริงจังสักที แล้วแผน/โครงการที่ตั้งไว้ 200 กว่าข้อทำสำเร็จกี่โครงการแล้ว ส่วนกรมการขนส่งฯ ที่ปฎิรูปรถโดยสารสาธารณะนั้น ไม่เคยสอบถาม ปชช เลย แล้วเป็นอย่างไรล่ะ ปชช.ต้องรอรถฯนาน
16,2022-09-14 11:15:32+00:00,@SabaiFreedom ติ่งอวยแทบแตก บอกว่าดีแล้วลุงป้อมมาช่วย ชช. ทำงานมั่ง บ้างก็ว่าลุงทำงานเป็นหรือเปล่า มาเกาะชช.สิ
17,2022-09-14 10:51:59+00:00,"เห็นคลิปที่ อ.ชช. ชะเลียยย55555
ลุงป้อมแล้วแอบขำมากกก
แถมอวยคมลุงป้อมจ้นนนนนน
เหมือนตอนน้อมมมกราบลุงตู่เลย
นอบน้อมมากกก 5555
ความหวัง500%ของคน กทม.
#น้ําท่วมกรุงเทพ #น้ําท่วม"
18,2022-09-12 09:26:46+00:00,"พล.อ.ประวิตร รักษาฯ

ดูอบอุ่น น่าเคารพ มากบารมี มีปัญญากับประสบการณ์ที่มากมาย

จนทำให้หลายๆคนที่เป็น
ติ่ง พล.อ.ประยุทธ์ ต้องหันมาอวยกันเแทบไม่ทัน เมื่อลุงป้อมมีอำนาจขึ้นน้ำลายเกือบท่วม..แผ็บๆ

#น้ําท่วม #ประวิตร
#ประยุทธ์ https://t.co/0fpiYldgS3"
19,2022-09-11 08:11:27+00:00,@NuuNuu_Official @dtppowerplant ถ้าลุงป้อมจัดการน้ำเหนือได้ รอดูว่ากีบจะอวยใคร
20,2022-09-07 13:03:02+00:00,"ต้นทางลบไปแล้ว
แต่จริงๆ กองทัพสแตนบายด์ตลอด
ตั้งแต่ลุงตู่สั่งการให้เตรียมการและ
แล้วลุงป้อมก็ซัพพอร์ตอีก 
ชัชชาติสั่งไม่ได้ ไม่ใช่ รมต กลาโหม
มีแต่ขอความอนุเคราะห์หรือขอความช่วยเหลือได้
แก๊งอวยชัชชาตินี่จะเพี้ยนไปถึงไหนนะ https://t.co/BSIuXZjtAp"
21,2022-09-07 04:27:30+00:00,"ดร.เสรี แฉเล่ห์ร้าย อวยยุแยง ""ลุงป้อม"" แตกคอ ""นายกฯตู่"" หวังพานายใหญ่กลับบ้าน

https://t.co/fDDpBjjqQl

#TOPNEWS #TOPTV"
22,2022-09-06 05:24:57+00:00,เรื่องอวยลุงป้อม เหยียบลุงตู่ พ่อด่าซะฮาเลย 😅 https://t.co/vnAtzEefR1
23,2022-09-02 06:56:51+00:00,55555555555555555การละค๊ร เด่วนี้ก็ต้องจ้างมาอวยลุงป้อมละบ่นลุงตู่เยอะๆๆอ่ะเนอะ https://t.co/pD2C76Dpl4
24,2022-09-02 04:10:44+00:00,@tanawatofficial เอาให้พ้นปีนี้ก่อน จะอวยยังไงก็ดูอายุกับสังขารแกด้วย อย่างลุงป้อมนี่ต้องต่อ Contract ปีต่อปีกับยมบาลแล้ว
25,2022-09-01 08:03:39+00:00,"เขินจนหน้าแดง!!!
แฟนคลับจุ๊บแก้ม “ลุงป้อม” อวยพรอายุยืน
.
อ่านข่าวต่อ : https://t.co/WjAUrcA4UM
อัปเดตทุกวงการ ต้องข่าวใหญ่ ""BIG NEWS""
คลิกที่เรียนรู้เพิ่มเติม https://t.co/3jOpyQsy02
#ข่าวใหญ่ #Bignews #ข่าวกระแส #ข่าวใหม่ประจำวัน #ข่าวทุกแวดวงการ  #การเมือง https://t.co/6UWyqgB4Hw"
26,2022-08-31 12:17:43+00:00,"@H2O_Whan ถ้าไอ้ตี๋มันอายุุเท่าลุงป้อมไปลงแข่งวิ่งเทลเข้าเส้นชัย
แล้วเอามาอวยก็ยังพอเข้าใจ
แต่วัยห่างกันขนาดนี้เอามาโยงได้ไง
สมองพวกกีบมันมีแต่หญ้ากับฟาง  😩"
27,2022-08-29 09:18:47+00:00,@MatichonOnline ธนาธรลงแข่งวิ่งเทรลที่ใช้เวลา152ชม.หรือประมาณ6วันกว่าจะถึงเส้นชัย สลิ่มในเฟสบอก ไม่มีเรื่องอื่นจะโพสต์แล้วหรอ ไม่ได้ที่หนึ่งด้วยซ้ำสามกีบอวยกันไส้แตก แล้วกูที่หันไปมองลุงป้อม // มันคงชอบอะไรกันแบบนี้จริงๆอะเนอะ ก็เลยปิดเฟส มาเล่นแค่Twitter กับ IG
28,2022-08-28 10:52:25+00:00,@htc45h @DekyingNumtarn เรื่องดรงงาน เรื่องน้ำไม่ว่าจะน้ำท่วม น้ำแล้งเราให้เครดิตลุงป้อมตลอดนะคะ แกทำต่อเนื่อง...ขออวยนิดนุง
29,2022-08-28 09:06:11+00:00,"@aofJs22 @love_u_to @pran2844 เนื้อผ้าวะซ่านนดูเห็นกีบสวะแซะลุงป้อมมาตัแต่แรกๆล่ะ ดก55
มาตอนนี้จะมาอวยเพื่อแซะลุงตู่

สะเหล่อ 55"
