,Date,Tweet
0,2022-10-05 18:43:30+00:00,เราขอความคิดเห็นเพื่อนในทวิตหน่อยค่ะ เราเจอคนในบ้านเขียนมาแบบนี้  #โหนกระแส https://t.co/lFZbYVw1bC
1,2022-10-05 18:32:38+00:00,อาชีพคนอื่น ที่เค้าทำมาหากินสุจริตอีกเน๊อะ ดูตรงอื่นแล้วนั่งขำ แต่ติดตรงประโยคนี้จริงๆ ไม่ไหว #โหนกระแส
2,2022-10-05 18:30:59+00:00,มีคำนึงที่อิผู้หญิงมันบอกว่ายามไปขู่มันว่ามึงรู้มั้ยกูเป็นใครมันบอกกับพี่หนุ่มว่าหนูอยากบอกเค้าเหมือนกันว่ากูไม่รู้หรอกว่ามึงเป็นใครถ้ามึงเป็นคนใหญ่ คนโตจริงคงไม่มาเป็นแค่ยามหรอกอือหือกล้าพูดตัวเองไม่ได้ทำงานทำการอะไรเป็นเมียน้อยเค้าไม่มีศักดิ์ศรียังกล้ามาว่า.. มีต่อ #โหนกระแส
3,2022-10-05 18:14:13+00:00,"ห
#โหนกระแส"
4,2022-10-05 18:11:43+00:00,"พี่หนุ่มคะ โหนกระแสสนใจรับเรื่องไหม ชาวเน็ตอยากฟัง 💅🏻💅🏻

 #นิ้งชัญญา"
5,2022-10-05 18:04:27+00:00,"ช่องหายอ่ะ ทำไมมมมม
#โหนกระแส"
6,2022-10-05 18:03:24+00:00,เชียร์เอาไปออกโหนกระแสมาก #นิ้งชัญญา
7,2022-10-05 17:57:59+00:00,#ทวิตดีคนรีน้อย #โหนกระแส #ร้านหม้อไฟแห่งความสุข #นิ้งชัญญา #โตโน่ #ทูสิราษฎร์ #6ตุลา #พลอยหอวัง #สวีข่าย #ข่าวใส่ไข่ #สุภาษิตสอนหญิง #สังหารหมู่ธรรมศาสตร์ https://t.co/gAt3yDTvH2
8,2022-10-05 17:48:44+00:00,เหมือนอยู่ในรายการโหนกระแส
9,2022-10-05 17:48:31+00:00,"ดู #โหนกระแส
กรรชัย : ทางฝั่งเฮียวัฒน์เราก็ไม่ต้องไปยุ่งกับเขาอีก
ผญ : เรื่องเฮียวัฒน์วันจบกันไปตั้งนานแล้วค่ะ อยากฝากว่าถ้าคุยกับเรามันไม่ต้องมาจุดนี้
กรรชัย : เขารำคาญ ก็คุณโทรเป็น 1000 สาย
ผญ : หนูอยากให้เขารู้ว่า มันแค่คุยแค่นี้เองมันก็คือจบ

\\อันนี้ไม่เรียกว่าจบนะหญิง"
10,2022-10-05 17:44:10+00:00,โหนกระแสวันนี้ตลกมาก ตรรกะป่วยกันหมดโดยเฉพาะอิเจ๊เมียน้อย เป็นประสาทแต่ไม่รู้ตัวอ่ะ
11,2022-10-05 17:39:09+00:00,#เด็ก16ผ่าไฟแดงชนคนตาย แล้วนี่ออกมาให้สัมแบบนี้คิดวิเคราะห์แยกแยะมาดีแล้วใช่มั้ยคะ ผ่านไปตั้งหลายวันเหมือนไม่ได้รู้สึกผิดเลยแต่ออกมาเพราะรู้สึกอายมากกว่า ถ้าไม่มีพลังโซเซี่ยลก็คงใช้ชีวิตปกติเหมือนไม่มีอะไรเกิดขึ้นแล้วหรือป่าว วอนพี่หนุ่ม #โหนกระแส ทำคดีนี้หน่อยนะคะกลัวเรื่องเงียบ https://t.co/5ATuszDNxh
12,2022-10-05 17:30:07+00:00,โหนกระแสต้องเข้าละ #นิ้งชัญญา
13,2022-10-05 17:24:26+00:00,บางทีเวรกรรมก็มาในรูปแบบเมียน้อยจิตป่วยแบบนี้🤣🤣🤣 #โหนกระแส
14,2022-10-05 17:22:03+00:00,"มึงกูเคยเห็นผู้หญิงคนนึงออกรายการโหนกระแส 
บอกว่า ไม่มีทางแย่งผัวคนอื่นแน่นอน
พักเดียวเองมึง เปิดตัวกับผัวเค้าแบบน่าชื่นตาบาน

#พลอยหอวัง"
15,2022-10-05 17:20:24+00:00,#โหนกระแส #ร้านหม้อไฟแห่งความสุข #วอลเลย์บอลหญิง https://t.co/eA6CZaPiD9
16,2022-10-05 17:16:46+00:00,"วัดคูเต่า บางกล่ำ สงขลา โบราณสถานยูเนสโก และสะพานแขวนแห่งประวัติศาสตร์
https://t.co/zQpWem5wcu
#โหนกระแส #นิ้งชัญญา #พลอยหอวัง"
17,2022-10-05 17:12:00+00:00,ปลิวทุกช่องทาง… ทวิตก็หาย  #โหนกระแส
18,2022-10-05 17:11:22+00:00,ข่าวรปภ.กับสาวมหาภัย คือชื่นชมนะพี่รปภเค้าใจเย็นสุดๆ ละอะ กะคนแบบนี้ สูไปดูนางออกโหนกระแสเหอะ แล้วคิดดูว่าถ้าเราเป็นพี่รปภคนนี้อะ 5555555555555 ควรโดนปลุกสติ
19,2022-10-05 17:10:39+00:00,#โหนกระแส youtube ปลิวหรอ
20,2022-10-05 17:10:35+00:00,ทำไม​ ต้องขอโทษ​ ในเมื่อ​ ผญ​ คนนั้นไล่ก็ไม่ไป​ สงสาร​ รปภ.​ ที่สายใหม่​ ให้เค้าขอโทษอีก​ ความรู้สึกจะเป็นยังไง​ #โหนกระแส
21,2022-10-05 16:56:34+00:00,"ดูโหนกระแสจบแล้ว พอดูจบ เห็นใจคุณรปภ ที่ทำตามหน้าที่ และอยากให้ คุณวัตร กับ ผญ ที่ออกรายการคบหากันต่อ อยากเห็นความฉิบหายมากกว่า คลิปที่รังสิตตีกันเหยียบ อก กันค่ะ ~~ คุณวัตรมีเมียน้องต้องเจอแบบนี้ ""มีเมียน้อยผิด ชีวิตเปลี่ยน""

ปล. ในรายการคุณวัตรพูดว่า ""เมียน้อย"" เองค่ะ"
22,2022-10-05 16:55:00+00:00,"ฝาก 50 รับ 100 ก็เสียวได้ 
ปั้นเงินพันจากเงินหลักสิบมาแล้วหลายยูส!!!

รับเครดิตที่นี่
🔥 https://t.co/bWk2jx9UQ2

#เครดิตฟรี #50รับ100 #lavagame168 #อิงฟ้ามหาชน #ร้องข้ามกำแพง #โหนกระแส https://t.co/cKf4z72E2J"
23,2022-10-05 16:46:04+00:00,เอาโหนกระแสข้ากลับมาาาา
24,2022-10-05 16:44:22+00:00,วางยาสุด ไปโหนกระแสโดนพี่หนุ่มซักจนมุม ดับไม่ต้องเกิดกันเลยนะทีนี้ https://t.co/wqMmvEoMBW
25,2022-10-05 16:38:47+00:00,"💥ฝาก 50 รับ 100 ก็เสียวได้ 🔥
ปั้นเงินพันจากเงินหลักสิบมาแล้วหลายยูส

❗รับเครดิตที่นี่❗
https://t.co/Id3s5lWuhJ

#เครดิตฟรี #50รับ100 #lavagame168 #อิงฟ้ามหาชน #ร้องข้ามกำแพง #โหนกระแส #สล็อตแตกง่าย #สล็อตเว็บตรง https://t.co/f7xKYPtjoT"
26,2022-10-05 16:34:50+00:00,"DID U  MISS  THE GAMES YESTERDAY ? ?

IT'S NOT TOO LATE
‍‍‍‍ HURRY NOW AND CHAT ME PRIVATELY  TO BUY THE EARLY OR NIGHT GAMES BEFORE KICK OFF.  YOUR WINNING IS GUARANTEED 100% SURE WIN

GAMES ARE AVAILABLE
#โหนกระแส #InterBarca #ImranKhan #ElonMusk #MONEY https://t.co/46iRPvY2LJ"
27,2022-10-05 16:32:59+00:00,@chatsuchada โหนกระแสวันนี้เหมือนกันค่ะ หัวจะปวด แต่ชอบดูนะ
28,2022-10-05 16:32:37+00:00,ช่องยูทูปโหนกระแสไปไหนวะ
29,2022-10-05 16:30:19+00:00,#โหนกระแส https://t.co/XeoNPNmTXZ
30,2022-10-05 16:26:50+00:00,ขออนุญาตนะคะ มาปล่อยนาฬิกา สีโรสโกล มีเยอะมากใส่ไม่ทันคั้บ ลองทักมาดูก่อนได้น้า💐🥺🫵🏻🤍🫶🏻 ส่งฟรีคั้บ #นาฬิกาข้อมือ #นาฬิกา #สีโรสโกล #ของมือสอง #สภาพนางฟ้า #นาฬิกามือหนึ่ง #มือหนึ่ง  #โหนกระแส #น้องยังอยู่น้า https://t.co/dKaKooVaFt
31,2022-10-05 16:26:40+00:00,เรื่องเด่นเย็นนี้ เรื่องเล่าเช้านี้ เที่ยงวันทันเหตุการณ์ โหนกระแส เที่ยงทันข่าว 360องศา ซุปเป้อจิ๋ว ดิสนี่คลับ https://t.co/j4CZpWbrSG
32,2022-10-05 16:18:59+00:00,"กิจกรรมใหม่สำหรับทุกคน ชวนเพื่อนเล่นได้เครดิตฟรี ทุกยูสเซอร์ยิ่งชวนเพื่อนเยอะยิ่งได้เยอะ😍

สมัคร🔻
https://t.co/57AQTkSmCz

ไลน์🔻
https://t.co/nVKzmjLHkI

#โหนกระแส #โตโน่ #นายก8ปี #หยิ่นวอร์ #ห้วยปราบ #6ตุลา #ไม่ได้ชอบทะเลแต่พี่ชอบเธอ #ไบเบิ้ลบิว #แจกเครดิตฟรี https://t.co/DCpccqILUV"
33,2022-10-05 16:18:43+00:00,"ดู The standard ทำดิ 55555

คุณหนุ่มเมืองจันท์ วิเคราะห์ได้ดีมากอีกแล้ว

#น้ําท่วมกรุงเทพ #น้ําท่วมอุบล  #โหนกระแส https://t.co/2W3Pcad88t"
34,2022-10-05 16:16:00+00:00,โหนกระแส ปลิวจากYoutubeซะแล้ว ก็เซ็งๆนะ เพราะดูย้อนหลังตลอด ต้องไปพึ่งเฟสบุ๊คแล้ว
35,2022-10-05 16:15:03+00:00,#เด็ก16ผ่าไฟแดงชนคนตาย #โหนกระแส https://t.co/x2O3TpKTBH
36,2022-10-05 16:13:56+00:00,"US's latest weapons package, including four more HIMARS rocket launchers, comes as Ukraine's military continues its advance
#โหนกระแส #InterBarca https://t.co/zEazBtq6Cn"
37,2022-10-05 16:12:09+00:00,#โหนกระแส https://t.co/S4zPoILNlN
38,2022-10-05 16:06:52+00:00,#นิ้งชัญญา　#วอลเลย์บอลหญิง　#พลอยหอวัง　#SmileyofCharlotte　#โหนกระแส　ฉันอาจจะไปกรุงเทพไม่ได้ เลยอยากได้ใครสักคน 🇯🇵 มา เพราะทุกคนในญี่ปุ่นไว้วางใจแต่รัฐบาลเท่านั้น😭☔
39,2022-10-05 16:06:08+00:00,ช่องยูทูปโหนกระแสหายไปไหนอะ เสิร์ชไม่เจอเลย งง
40,2022-10-05 16:05:01+00:00,#โหนกระแส ขอให้ภรรยาเฮียฟ้องเลยนะคะหลักฐานแน่นหนาขนาดนี้ ฟ้องให้หนัก ให้หลาบ
41,2022-10-05 16:02:00+00:00,"พ่อเยาวชนซิ่งรถชนบัณฑิตดับ กราบขอโทษครอบครัวผู้เสียชีวิต ยันพร้อมรับผิดชอบเยียวยาทั้งหมด ด้านลูกเก็บตัวเงียบถูกโซเชียลถล่ม ขอให้โหนกระแสตามเรื่องให้ถึงที่สุด อยากให้ได้รับความเป็นทำ 
#เยาวชนซิ่งชนบัณฑิต #บัณฑิตวิศวะเกียรตินิยม #โหนกระแส https://t.co/zjBgv1VnFL"
42,2022-10-05 16:01:44+00:00,เทปนี้ดี ตรงที่ นี่คือเรื่องจริงในสังคม ยังมีผู้หญิงที่มาทีหลังเคสอื่นๆเยอะ ที่ มึงจบกูไม่จบ หรือ โพสต์โชว์ผัวคนอื่นสาธารณะ ติด  # @ ผู้ชาย ระรานผู้หญิงอื่นของผช. ส่งข้อความ ทัก นั่นนี่ จะหวังเอาให้เลิกให้ได้ หรือหวังเงิน หน้าตาจากตำแหน่งบทบาทหน้าที่การงานผช. ก็แล้วแต่  #โหนกระแส
43,2022-10-05 15:58:29+00:00,เอา  #นิ้งชัญญา ไปออกโหนกระแสทีค่าหนีนักข่าวพ้นแต่คงหนีคุณหนุ่มไม่พ้น
